As. Pct,Blk Pct,Box +-,DRB Pct,DWS,Deff. Box +-,FG3 PerFGA%,Fta PerFGA%,GP,MP,ORB Pct,OWS,Off. Box +-,PER,Stl Pct,TO Pct,TRB Pct,TS %,Teams,Usg Pct,VORP,WS,WS Per 48,age,name
10.4,0.5,-1.9,7.7,0.5,-1.7,.636,.222,49,986,2.4,0.8,-0.2,10.0,1.3,10.3,5.0,.550,Muhammad-Ali Abdur-Rahkman,14.0,0.1,1.3,.062,,Muhammad-Ali Abdur-Rahkman
6.7,4.4,-2.1,20.7,0.1,-1.8,.370,.241,3,100,4.1,0.1,-0.3,19.2,1.4,6.3,12.2,.544,Quincy Acy,26.5,0.0,0.2,.096,28,Quincy Acy
25.3,0.6,0.1,11.4,0.6,-0.5,.559,.224,20,633,2.8,0.3,0.7,13.9,2.4,16.2,7.2,.524,Jaylen Adams,20.8,0.6,1.0,.074,22,Jaylen Adams
39.2,0.0,11.9,14.5,0.0,6.9,1.000,.000,2,7,0.0,0.0,5.1,25.2,13.3,33.3,7.3,.750,Jordan Adams,17.0,0.0,0.0,.313,24,Jordan Adams
22.4,1.6,-1.1,13.6,0.8,0.0,.429,.225,20,598,1.4,-0.2,-1.1,13.1,1.7,16.6,7.4,.516,Josh Adams,25.1,0.2,0.6,.049,,Josh Adams
11.6,1.3,-2.4,16.7,1.2,0.0,.311,.233,37,1143,2.6,0.0,-2.4,11.8,1.1,14.1,9.6,.524,Deng Adel,19.2,-0.2,1.2,.051,21,Deng Adel
12.2,1.1,-1.8,15.8,0.9,0.3,.342,.242,25,779,2.2,0.1,-2.0,11.8,1.1,13.6,8.9,.524,Deng Adel,19.1,0.1,1.0,.063,21,Deng Adel
10.5,1.5,-3.6,18.6,0.3,-0.5,.244,.213,12,364,3.5,-0.1,-3.1,11.7,0.9,15.3,10.9,.522,Deng Adel,19.5,-0.2,0.2,.026,21,Deng Adel
22.1,1.3,1.8,14.0,0.1,-1.5,.375,.531,2,58,1.8,0.2,3.3,24.7,3.2,15.1,7.9,.621,DeVaughn Akoon-Purcell,33.0,0.1,0.2,.196,25,DeVaughn Akoon-Purcell
16.6,0.2,0.6,11.1,1.3,-1.3,.689,.256,50,1503,0.7,2.1,1.9,13.9,1.5,12.0,6.0,.562,Bryce Alford,19.6,1.6,3.4,.109,24,Bryce Alford
,,,,,,,,,,,,,,,,,,,,,,,,
17.2,2.3,-0.3,15.1,1.6,1.6,.318,.163,44,1138,6.9,-0.4,-1.9,14.0,1.7,16.2,11.0,.510,Rawle Alkins,22.2,0.8,1.3,.053,21,Rawle Alkins
4.3,1.6,-2.1,13.5,0.8,1.0,.166,.176,39,751,2.5,0.1,-3.1,9.1,1.7,13.7,8.0,.548,Dakarai Allen,12.9,0.0,0.9,.060,,Dakarai Allen
4.7,1.8,-1.2,13.9,0.8,1.5,.170,.182,28,626,2.6,0.2,-2.6,10.3,1.9,12.7,8.2,.553,Dakarai Allen,13.6,0.2,1.0,.076,,Dakarai Allen
2.0,0.6,-6.6,11.7,0.0,-1.4,.136,.136,11,125,1.8,-0.1,-5.2,3.1,0.4,20.5,6.9,.515,Dakarai Allen,9.9,-0.2,0.0,-0.018,,Dakarai Allen
11.4,1.0,0.8,8.8,0.3,-1.6,.618,.360,12,368,0.9,0.7,2.4,15.8,1.6,11.3,4.9,.622,Grayson Allen,20.5,0.4,1.1,.138,23,Grayson Allen
29.4,1.1,2.3,14.0,2.1,1.6,.175,.292,39,1240,3.4,1.3,0.7,17.4,2.3,15.3,8.9,.531,Kadeem Allen,22.9,2.2,3.4,.131,26,Kadeem Allen
8.7,6.3,5.5,17.8,0.5,2.9,.077,.205,17,377,19.2,1.0,2.5,21.5,1.6,17.5,18.5,.639,Lavoy Allen,17.0,1.2,1.5,.187,29,Lavoy Allen
7.1,0.7,-4.0,9.4,0.6,-1.1,.151,.331,43,899,3.4,0.1,-2.9,10.3,1.8,10.5,6.3,.515,Marcus Allen,17.9,-0.7,0.7,.036,,Marcus Allen
12.7,0.6,-0.5,20.3,1.0,0.3,.485,.210,42,1108,3.8,0.2,-0.8,11.8,1.9,15.0,12.0,.514,Noah Allen,17.2,0.7,1.2,.052,,Noah Allen
12.5,0.2,-3.9,12.0,0.3,-0.5,.299,.289,39,521,5.2,0.1,-3.4,6.7,1.0,20.4,8.7,.485,C.J. Anderson,10.8,-0.4,0.4,.036,22,C.J. Anderson
,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,-5.4,13.5,0.0,-0.9,.250,.500,4,54,2.0,0.0,-4.5,5.4,0.9,17.0,7.9,.461,C.J. Anderson,9.0,-0.1,0.0,.018,22,C.J. Anderson
13.0,0.2,-3.7,11.8,0.3,-0.5,.303,.270,35,467,5.6,0.1,-3.2,6.9,1.1,20.7,8.8,.487,C.J. Anderson,11.0,-0.3,0.4,.038,22,C.J. Anderson
9.1,1.6,-0.9,30.7,0.8,-0.2,.160,.372,37,677,17.1,1.1,-0.7,18.5,1.1,12.7,24.0,.524,Ryan Anderson,18.7,0.3,1.9,.133,,Ryan Anderson
13.1,1.9,3.3,15.9,1.3,1.5,.507,.289,38,924,4.3,1.6,1.7,16.5,3.1,10.0,10.1,.563,Braian Angola-Rodas,17.3,2.0,2.9,.152,22,Braian Angola-Rodas
3.6,5.6,-3.4,21.9,0.5,0.6,.000,.338,21,571,15.3,-0.1,-4.0,14.7,0.8,18.7,18.5,.502,Ike Anigbogu,20.5,-0.3,0.4,.037,20,Ike Anigbogu
4.1,4.6,-0.8,18.4,0.8,1.0,.149,.652,40,1016,7.5,1.0,-1.9,14.7,1.7,16.9,12.8,.594,Kostas Antetokounmpo,17.5,0.5,1.8,.084,21,Kostas Antetokounmpo
7.7,5.8,2.2,22.1,1.1,3.3,.029,.435,36,820,10.0,1.1,-1.1,16.7,1.6,17.7,16.0,.598,Isaiah Armwood,15.2,1.4,2.2,.127,,Isaiah Armwood
13.4,0.4,-1.2,10.3,0.4,-1.5,.372,.208,31,1072,3.5,0.8,0.3,13.1,1.2,14.0,7.0,.545,Jamel Artis,21.7,0.4,1.2,.053,26,Jamel Artis
9.8,1.8,3.0,18.7,0.8,1.1,.303,.308,44,771,8.4,1.9,1.9,17.5,2.1,11.6,13.7,.635,J.J. Avila,14.1,1.6,2.7,.166,27,J.J. Avila
10.9,3.0,1.6,15.0,0.1,0.3,.188,.458,15,175,8.8,0.5,1.2,18.5,1.9,12.2,11.8,.641,J.J. Avila,15.6,0.3,0.6,.162,27,J.J. Avila
,,,,,,,,,,,,,,,,,,,,,,,,
9.5,1.5,3.4,19.8,0.6,1.3,.340,.261,29,596,8.3,1.4,2.1,17.2,2.2,11.4,14.3,.633,J.J. Avila,13.7,1.3,2.1,.167,27,J.J. Avila
11.2,0.6,-2.6,18.7,0.8,-1.4,.310,.249,17,546,3.3,-0.1,-1.2,17.1,1.8,8.2,11.0,.498,Dwayne Bacon,31.3,-0.1,0.7,.058,23,Dwayne Bacon
6.6,0.0,-3.2,6.1,0.1,-3.3,.579,.066,17,417,2.1,0.3,0.1,9.5,1.6,7.1,4.1,.518,Travis Bader,17.0,-0.2,0.4,.045,27,Travis Bader
21.4,0.6,0.5,14.6,0.5,-0.9,.227,.243,14,450,3.2,0.5,1.3,19.8,2.5,11.0,8.8,.547,Wade Baldwin,29.2,0.5,1.0,.110,22,Wade Baldwin
18.2,0.4,-1.0,13.3,0.1,-1.6,.179,.330,6,197,3.7,0.2,0.6,19.8,3.1,10.5,8.3,.530,Wade Baldwin,30.2,0.1,0.3,.081,22,Wade Baldwin
23.8,0.6,1.6,15.7,0.3,-0.3,.266,.175,8,253,2.8,0.4,1.9,19.9,2.0,11.5,9.2,.562,Wade Baldwin,28.5,0.4,0.7,.133,22,Wade Baldwin
27.5,0.1,-2.3,10.8,1.1,-1.3,.225,.360,42,1092,2.5,0.1,-1.0,15.0,1.9,15.1,6.7,.510,Cat Barber,26.0,-0.1,1.2,.051,24,Cat Barber
23.6,0.0,-3.8,12.3,0.6,-1.3,.259,.417,28,559,2.0,-0.5,-2.6,12.4,1.7,12.6,7.1,.465,Cat Barber,26.0,-0.4,0.2,.014,24,Cat Barber
31.6,0.3,-0.7,9.3,0.4,-1.2,.190,.300,14,533,3.1,0.6,0.6,17.7,2.1,17.7,6.3,.560,Cat Barber,26.1,0.3,1.0,.090,24,Cat Barber
9.4,0.4,-2.7,12.2,1.5,-2.2,.345,.150,47,1179,3.5,-0.2,-0.5,16.9,2.1,9.8,7.8,.524,Jaylen Barford,31.0,-0.3,1.3,.053,23,Jaylen Barford
,,,,,,,,,,,,,,,,,,,,,,,,
9.1,1.5,-8.0,7.4,0.0,-1.3,.154,.154,7,55,5.6,-0.1,-6.7,1.7,0.0,17.8,6.5,.360,Kentrell Barkley,12.2,-0.1,0.0,-0.033,,Kentrell Barkley
5.6,3.0,0.3,12.7,0.4,0.4,.493,.132,35,647,5.0,1.0,-0.1,12.9,1.5,11.1,8.7,.620,Jordan Barnett,10.8,0.6,1.3,.098,23,Jordan Barnett
6.0,2.0,-1.1,7.3,0.1,-0.5,.575,.100,18,356,2.2,0.4,-0.6,9.9,1.4,8.7,4.7,.581,Jordan Barnett,10.4,0.1,0.5,.062,23,Jordan Barnett
5.2,4.3,2.1,19.3,0.3,1.5,.391,.172,17,291,8.4,0.6,0.6,16.5,1.5,13.8,13.7,.668,Jordan Barnett,11.3,0.5,0.9,.142,23,Jordan Barnett
7.1,1.6,-0.2,14.8,0.5,-0.5,.449,.329,42,1140,1.7,1.5,0.2,12.9,1.0,12.2,8.1,.615,Canyon Barry,14.6,0.8,2.0,.085,25,Canyon Barry
7.6,3.9,0.0,21.3,0.6,0.8,.329,.183,16,585,4.8,0.3,-0.8,16.4,1.5,9.3,12.9,.523,Keita Bates-Diop,21.7,0.5,0.8,.070,23,Keita Bates-Diop
7.5,2.1,-1.1,10.6,1.2,0.6,.426,.099,39,798,4.5,0.0,-1.7,10.7,1.7,10.9,7.7,.503,Devon Baulkman,17.8,0.3,1.2,.070,27,Devon Baulkman
6.2,1.2,-2.2,10.5,1.0,0.0,.694,.122,43,916,1.8,-0.1,-2.2,8.5,1.4,8.8,6.2,.510,V.J. Beachem,14.0,-0.1,1.0,.050,24,V.J. Beachem
0.0,0.0,-6.6,0.0,0.0,-0.6,,,1,2,0.0,0.0,-6.0,0.0,0.0,,0.0,,V.J. Beachem,0.0,0.0,0.0,-0.025,24,V.J. Beachem
6.2,1.2,-2.2,10.6,1.0,0.0,.694,.122,42,914,1.8,-0.1,-2.2,8.5,1.4,8.8,6.2,.510,V.J. Beachem,14.0,-0.1,1.0,.050,24,V.J. Beachem
,,,,,,,,,,,,,,,,,,,,,,,,
21.9,0.0,-4.6,5.5,0.0,-3.3,.229,.200,8,151,3.2,0.2,-1.3,11.2,0.9,22.4,4.3,.617,Trae Bell-Haynes,13.2,-0.2,0.2,.054,,Trae Bell-Haynes
0.0,3.5,-13.8,29.0,0.0,-1.6,.000,1.333,2,27,4.1,-0.1,-12.2,-1.0,0.0,17.4,16.5,.210,Kyle Benjamin,9.1,-0.1,0.0,-0.065,,Kyle Benjamin
8.4,1.4,4.5,17.7,0.5,-0.7,.632,.319,25,523,5.0,1.8,5.2,21.8,2.0,12.5,11.6,.721,Anthony Bennett,19.5,1.4,2.3,.214,25,Anthony Bennett
16.3,1.2,-5.6,4.9,0.2,-3.5,.451,.129,21,469,1.3,-0.2,-2.1,9.8,1.3,11.2,3.0,.475,Joel Berry,23.9,-0.7,0.0,-0.005,23,Joel Berry
6.2,0.3,-1.1,13.1,1.2,-1.0,.596,.219,46,1045,3.0,0.5,0.0,12.4,2.0,11.6,8.0,.543,Michael Bethea Jr.,20.5,0.4,1.7,.077,,Michael Bethea Jr.
12.3,0.3,-2.5,9.7,0.8,-1.7,.535,.173,49,1447,1.2,0.7,-0.7,11.1,1.2,10.4,5.5,.531,Justin Bibbs,17.5,-0.3,1.6,.052,23,Justin Bibbs
12.7,0.3,-2.5,9.4,0.8,-1.7,.527,.173,44,1320,1.0,0.6,-0.8,11.2,1.3,10.2,5.2,.528,Justin Bibbs,17.9,-0.3,1.4,.051,23,Justin Bibbs
8.4,0.0,-1.7,13.1,0.0,-1.8,.636,.182,5,127,3.5,0.1,0.1,10.2,0.8,12.3,8.5,.575,Justin Bibbs,13.5,0.0,0.2,.065,23,Justin Bibbs
21.0,1.8,1.8,21.3,0.3,0.5,.000,.493,23,312,12.8,0.6,1.3,22.5,2.8,12.9,17.1,.537,DeJuan Blair,28.3,0.5,0.9,.142,29,DeJuan Blair
16.5,0.0,-7.2,23.4,0.1,-1.6,.128,.154,2,71,2.9,-0.1,-5.6,11.6,0.7,8.8,13.2,.456,Antonio Blakeney,28.0,-0.2,0.0,-0.010,22,Antonio Blakeney
,,,,,,,,,,,,,,,,,,,,,,,,
10.5,2.9,-1.4,19.1,1.0,-0.7,.267,.261,35,1168,5.0,0.8,-0.7,17.1,1.0,9.5,11.9,.531,Jaron Blossomgame,24.8,0.3,1.9,.077,25,Jaron Blossomgame
9.7,3.0,-1.6,19.3,1.0,-0.3,.302,.235,29,948,4.8,0.2,-1.3,16.0,1.2,8.9,11.9,.510,Jaron Blossomgame,24.7,0.2,1.2,.061,25,Jaron Blossomgame
14.1,2.2,-0.7,18.1,0.1,-2.2,.110,.380,6,220,5.6,0.6,1.6,22.1,0.2,12.1,11.9,.621,Jaron Blossomgame,25.4,0.1,0.7,.148,25,Jaron Blossomgame
10.9,0.1,-4.1,11.9,0.4,-1.5,.315,.325,39,1080,2.6,-0.5,-2.6,9.7,1.9,12.8,7.1,.476,Vander Blue,19.0,-1.0,-0.1,-0.005,26,Vander Blue
12.2,0.0,-3.9,11.5,0.2,-0.9,.349,.333,22,631,3.1,-0.5,-3.0,7.9,1.8,14.4,7.2,.438,Vander Blue,16.5,-0.5,-0.3,-0.023,26,Vander Blue
9.0,0.2,-4.5,12.4,0.2,-2.4,.280,.317,17,449,1.8,0.0,-2.1,12.2,1.9,11.1,7.0,.515,Vander Blue,22.4,-0.5,0.2,.020,26,Vander Blue
10.7,1.1,0.2,13.2,0.8,-0.8,.538,.189,24,596,4.8,0.7,1.0,14.7,1.7,9.4,9.1,.541,Trevon Bluiett,21.4,0.5,1.5,.121,24,Trevon Bluiett
9.6,0.7,-0.2,12.5,0.5,-1.2,.553,.171,17,381,6.0,0.3,1.0,14.7,1.6,9.9,9.4,.533,Trevon Bluiett,22.8,0.3,0.9,.111,24,Trevon Bluiett
12.7,1.7,0.9,14.6,0.2,0.0,.506,.228,7,215,2.6,0.4,0.9,14.8,1.8,8.4,8.6,.558,Trevon Bluiett,18.8,0.3,0.6,.138,24,Trevon Bluiett
27.0,0.3,-3.2,10.1,0.1,-2.4,.586,.086,11,220,1.5,0.1,-0.8,11.2,1.7,20.7,5.9,.523,Ryan Boatright,17.5,-0.1,0.2,.044,26,Ryan Boatright
,,,,,,,,,,,,,,,,,,,,,,,,
19.2,0.0,-7.3,12.7,0.0,-2.8,.619,.000,4,60,1.7,-0.1,-4.5,7.0,1.6,34.4,7.1,.571,Ryan Boatright,22.1,-0.1,-0.1,-0.100,26,Ryan Boatright
29.9,0.5,-1.7,9.1,0.1,-2.3,.571,.122,7,160,1.4,0.2,0.6,12.8,1.8,13.4,5.4,.503,Ryan Boatright,15.8,0.0,0.3,.098,26,Ryan Boatright
22.7,6.3,6.1,30.9,1.6,5.2,.059,.308,43,895,13.4,2.3,0.9,22.4,1.2,18.0,22.3,.611,John Bohannon,15.8,3.0,3.9,.210,27,John Bohannon
15.1,1.8,1.1,29.4,0.4,1.2,.505,.320,8,248,9.2,0.1,-0.1,16.7,2.3,17.0,19.4,.519,Jonah Bolden,23.5,0.3,0.4,.081,23,Jonah Bolden
24.8,2.7,-1.8,13.5,1.2,2.0,.355,.215,47,809,4.7,-0.7,-3.8,10.4,2.9,22.2,9.1,.432,Tim Bond,19.2,0.1,0.5,.031,23,Tim Bond
12.6,3.6,0.0,16.7,1.0,1.9,.316,.280,31,869,6.7,-0.1,-1.9,12.8,1.9,20.7,11.5,.539,Isaac Bonga,20.0,0.7,0.8,.046,19,Isaac Bonga
26.1,0.4,-5.2,8.5,0.0,-3.0,.568,.000,12,195,2.3,0.0,-2.3,7.9,1.5,25.4,5.4,.477,Devon Bookert,12.7,-0.3,0.0,.011,,Devon Bookert
5.8,9.8,6.1,25.9,2.3,3.3,.365,.387,28,957,8.9,2.9,2.9,29.7,1.7,8.7,17.3,.611,Chris Boucher,29.5,3.2,5.1,.258,26,Chris Boucher
15.8,2.9,1.0,16.9,0.1,0.7,.175,.175,8,135,18.1,0.1,0.3,17.2,1.7,8.9,17.5,.432,Cinmeon Bowers,20.2,0.2,0.2,.080,,Cinmeon Bowers
7.3,1.2,-1.3,14.6,0.5,-1.9,.731,.226,28,474,2.6,0.6,0.6,14.3,1.8,10.2,8.6,.566,Jacobi Boykins,21.3,0.1,1.2,.117,,Jacobi Boykins
,,,,,,,,,,,,,,,,,,,,,,,,
8.2,4.2,1.2,17.8,0.6,0.5,.111,.202,20,509,13.4,1.0,0.7,19.2,0.5,11.7,15.6,.594,Tony Bradley,21.4,0.7,1.5,.144,21,Tony Bradley
6.4,4.9,2.2,16.8,2.1,4.2,.403,.172,50,1252,4.6,0.1,-2.0,11.6,2.7,15.1,10.7,.517,Stephaun Branch,13.0,2.2,2.2,.086,23,Stephaun Branch
8.2,10.1,1.6,24.5,1.4,4.2,.000,.698,47,1097,14.4,0.0,-2.6,17.1,0.6,24.2,19.5,.573,Amida Brimah,18.2,1.7,1.4,.060,24,Amida Brimah
34.4,1.5,-8.1,0.0,0.0,-7.9,.174,.391,2,62,0.0,0.2,-0.2,19.3,2.4,10.0,0.0,.593,Isaiah Briscoe,21.0,-0.2,0.3,.195,22,Isaiah Briscoe
11.7,1.5,-1.6,17.4,0.8,-0.2,.414,.172,27,783,3.2,0.0,-1.4,12.9,1.7,14.4,10.3,.524,Anthony Brown,21.6,0.1,0.8,.049,26,Anthony Brown
16.0,5.3,-1.7,14.3,0.1,1.3,.138,.379,2,66,7.8,0.0,-3.0,14.7,0.7,10.6,11.0,.458,Bruce Brown,23.8,0.0,0.1,.057,22,Bruce Brown
6.8,0.0,-6.7,10.1,0.1,-1.7,.466,.190,11,145,3.6,-0.3,-5.0,5.7,2.0,16.0,6.8,.430,Elijah Brown,21.4,-0.3,-0.2,-0.052,,Elijah Brown
11.1,0.2,0.1,6.0,0.2,-3.7,.746,.128,49,1428,1.5,3.1,3.8,14.9,1.1,6.2,3.8,.585,Jared Brownridge,20.5,1.3,3.3,.111,,Jared Brownridge
17.2,0.0,-0.7,16.1,0.1,-1.7,.471,.039,3,109,3.6,0.1,1.0,15.5,2.1,13.4,9.7,.549,Sterling Brown,22.3,0.1,0.1,.062,23,Sterling Brown
5.9,1.3,-2.1,15.9,1.0,-1.6,.659,.136,47,1176,3.7,0.8,-0.5,11.8,0.9,9.9,9.9,.556,Vitto Brown,17.8,0.0,1.8,.074,23,Vitto Brown
,,,,,,,,,,,,,,,,,,,,,,,,
14.1,10.7,9.2,30.0,0.0,3.7,.250,.583,1,33,19.7,0.2,5.5,32.8,0.0,11.7,24.8,.696,Thomas Bryant,21.5,0.2,0.2,.341,21,Thomas Bryant
2.8,3.1,-2.4,10.3,0.0,-1.8,.571,.357,4,49,4.2,0.1,-0.6,11.3,1.0,11.0,7.3,.617,Michael Bryson,15.3,0.0,0.1,.082,24,Michael Bryson
7.0,0.0,-8.0,14.6,0.0,-2.9,.677,.161,13,114,1.0,-0.2,-5.1,3.9,1.3,17.4,7.8,.422,Connor Burchfield,14.8,-0.3,-0.1,-0.061,,Connor Burchfield
4.1,0.0,-10.9,0.0,0.0,-4.3,.667,.111,4,31,0.0,-0.1,-6.6,-0.4,1.5,0.0,0.0,.265,Connor Burchfield,12.7,-0.1,-0.1,-0.117,,Connor Burchfield
8.2,0.0,-7.0,20.0,0.0,-2.4,.682,.182,9,83,1.3,-0.1,-4.6,5.5,1.2,22.8,10.7,.484,Connor Burchfield,15.6,-0.2,-0.1,-0.041,,Connor Burchfield
12.9,1.2,1.2,17.9,0.3,0.0,.533,.160,27,511,5.2,0.8,1.3,15.0,2.1,13.5,11.4,.601,Trahson Burrell,15.1,0.7,1.1,.105,26,Trahson Burrell
20.7,0.8,-4.3,7.6,0.7,-1.1,.353,.332,41,853,1.6,-0.3,-3.2,8.1,1.6,16.5,4.6,.451,Deonte Burton,16.3,-0.8,0.4,.023,27,Deonte Burton
16.3,2.9,2.7,13.6,1.2,2.4,.330,.370,24,703,3.7,0.4,0.3,18.1,3.6,16.0,8.7,.551,Deonte Burton,24.8,1.4,1.6,.112,25,Deonte Burton
6.8,8.7,6.5,16.5,1.4,3.8,.492,.243,28,793,9.4,2.0,2.7,22.3,1.9,12.8,12.9,.644,Bruno Caboclo,20.3,2.8,3.4,.208,23,Bruno Caboclo
9.6,1.9,0.0,17.6,0.9,-1.6,.472,.139,43,772,6.9,1.1,1.6,17.8,1.7,12.2,12.3,.586,Antonio Campbell,25.4,0.7,2.0,.122,,Antonio Campbell
,,,,,,,,,,,,,,,,,,,,,,,,
5.9,0.4,-2.1,11.1,0.3,-1.8,.369,.209,24,489,4.4,0.6,-0.3,14.1,1.8,8.5,7.6,.566,Jeffrey Carroll,18.4,0.0,0.9,.092,24,Jeffrey Carroll
2.7,1.4,-7.4,15.1,0.2,-1.6,.356,.339,23,243,6.1,-0.3,-5.9,5.2,0.8,15.0,10.6,.428,Phillip Carr,14.2,-0.5,-0.1,-0.014,23,Phillip Carr
4.1,1.9,-4.2,11.0,0.1,0.5,.231,.615,10,92,0.0,0.0,-4.7,5.5,0.5,5.7,5.7,.484,Phillip Carr,8.2,-0.1,0.1,.061,23,Phillip Carr
1.8,1.2,-9.4,17.6,0.1,-2.8,.391,.261,13,151,9.8,-0.3,-6.6,5.0,1.0,17.7,13.6,.410,Phillip Carr,17.8,-0.5,-0.2,-0.059,23,Phillip Carr
24.8,1.2,3.2,11.0,1.0,1.1,.341,.189,22,759,3.0,0.8,2.1,18.2,3.7,14.7,7.1,.536,Jevon Carter,24.3,1.6,1.9,.120,23,Jevon Carter
28.8,1.9,1.1,10.6,0.9,1.0,.343,.375,27,770,3.4,0.3,0.1,16.4,3.5,19.8,6.9,.526,Alex Caruso,23.6,1.0,1.2,.077,24,Alex Caruso
12.6,2.2,0.4,21.9,1.1,1.2,.238,.388,40,967,4.6,1.1,-0.7,14.0,1.1,16.3,13.5,.581,Kyle Casey,16.9,1.0,2.3,.113,29,Kyle Casey
