name,Teams,age,Restricted FGM,Restricted FGA,Restricted FG%,Paint FGM,Paint FGA,Paint FG%,Mid FGM,Mid FGA,Mid FG%,Left Corner FGM,Left Corner FGA,Left Corner FG%,Right Corner FGM,Right Corner FGA,Right Corner FG%,Above Break FGM,Above Break FGA,Above Break FG%
Jordan Adams,RGV,24,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,100,0.0,0.0,0.0
Jordan Barnett,FWN,23,1.3,1.6,78.6,0.2,0.2,87.5,0.1,0.3,44.4,0.1,0.3,45.5,0.1,0.2,42.9,0.4,1.5,24.5
Jordan Green,AUS,26,1.5,2.3,67.4,0.2,0.7,25.9,0.3,1.0,32.4,0.1,0.3,22.2,0.1,0.2,42.9,0.2,0.4,35.3
Jordan Howard,RAP,23,0.7,1.2,61.3,0.5,1.0,46.2,0.8,2.0,42.3,0.1,0.3,28.6,0.3,0.6,50.0,1.5,3.6,40.4
Jordan Johnson,RGV,24,1.0,1.7,56.0,0.1,0.6,25.0,0.1,0.1,50.0,0.0,0.3,0.0,0.1,0.4,27.3,0.8,3.0,27.9
Jordan Loyd,RAP,25,3.4,5.1,65.9,1.1,2.6,44.8,0.8,1.9,41.8,0.3,0.7,40.7,0.1,0.4,33.3,1.8,5.0,35.8
Jordan McLaughlin,LIN,23,2.6,4.4,57.8,0.5,1.5,32.2,0.2,0.6,40.9,0.3,0.8,40.6,0.2,0.4,47.1,1.5,4.8,31.2
Jordan McRae,CAP,28,4.5,6.9,64.5,1.9,4.7,39.7,2.4,4.8,48.7,0.5,0.7,66.7,0.1,0.4,33.3,1.4,4.8,29.7
Jordan Sibert,ERI,26,1.4,2.3,59.8,0.2,0.6,40.0,0.5,1.1,45.8,0.7,1.5,50.0,0.4,0.9,44.1,2.4,6.9,34.4
Josh Adams,RAP,25,2.1,4.2,49.4,0.2,1.1,14.3,1.2,2.8,42.9,0.2,0.6,33.3,0.1,0.4,28.6,1.9,4.9,37.8
Josh Huestis,AUS,27,0.5,1.4,35.9,0.3,1.0,25.9,0.7,1.6,44.2,0.4,0.8,45.5,0.1,0.2,33.3,1.2,4.1,28.6
Josh Newkirk,LIN,25,0.7,1.3,50.0,0.0,0.2,0.0,0.1,0.3,44.4,0.1,0.4,33.3,0.2,0.3,57.1,0.5,1.4,34.0
Jovan Mooring,FWN,24,0.9,2.2,39.4,0.9,2.0,43.3,0.7,2.3,28.6,0.1,0.1,100,0.0,0.2,0.0,1.2,3.6,33.3
Juan Toscano-Anderson,SCW,26,2.1,3.9,53.3,0.3,1.2,26.4,0.1,0.3,20.0,0.0,0.1,40.0,0.1,0.1,80.0,0.2,0.7,28.1
Julian Washburn,MHU,27,1.3,1.9,69.9,0.7,1.2,55.6,0.9,2.5,36.2,0.6,1.1,50.0,0.3,0.6,52.4,0.9,2.5,34.7
Julien Lewis,STO,27,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.6,33.3
Justin Bibbs,ACC,23,1.6,2.4,64.7,0.5,1.1,42.9,0.4,1.1,37.5,0.4,1.0,41.3,0.3,0.8,33.3,1.0,3.5,30.0
Justin Dentmon,TEX,33,0.1,0.4,33.3,0.3,0.4,66.7,1.1,3.4,33.3,0.3,0.6,50.0,0.0,0.7,0.0,3.1,7.1,44.0
Justin Harper,SBL,29,1.1,1.8,62.5,0.5,1.5,32.7,0.4,1.1,33.3,0.1,0.4,41.7,0.1,0.1,50.0,1.7,4.9,33.9
Justin Jackson,LAK,22,1.1,1.6,68.8,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.6,2.7,22.2
Justin Leon,OKL,23,0.8,1.2,66.7,0.2,0.5,28.0,0.0,0.2,28.6,0.2,0.6,29.2,0.1,0.5,29.4,1.0,3.1,32.9
Justin Patton,DEL,22,2.5,4.0,61.4,0.3,0.9,30.0,0.8,1.8,45.0,0.0,0.0,0.0,0.1,0.2,50.0,0.0,0.4,0.0
Justin Reyes,SLC,24,1.8,2.8,63.4,0.6,1.3,48.8,0.1,0.2,28.6,0.1,0.3,42.9,0.2,0.3,50.0,0.3,0.6,42.9
Justin Tillman,MHU,23,2.1,3.5,60.7,1.1,2.4,47.4,0.0,0.5,0.0,0.3,0.3,100,0.0,0.0,0.0,0.3,1.4,18.2
Justin Tubbs,TEX,31,0.8,1.1,66.7,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,100,0.0,0.0,0.0,0.9,2.8,31.8
KJ McDaniels,OKL,26,2.9,4.4,64.9,1.0,2.7,36.7,0.2,0.5,35.0,0.2,0.7,28.1,0.0,0.2,22.2,0.8,2.2,34.7
Kadeem Allen,WES,26,3.1,5.6,54.1,0.9,2.6,34.0,0.8,2.3,37.5,0.1,0.2,62.5,0.0,0.1,0.0,0.8,1.9,42.7
Kadeem Jack,SBL,26,1.3,1.9,70.6,0.4,2.1,21.1,0.9,1.6,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Kaiser Gates,WCB,22,1.0,1.7,58.8,0.1,0.3,43.8,0.0,0.2,10.0,0.2,0.5,32.0,0.2,0.6,25.8,2.4,6.2,39.3
Kalin Lucas,GRD,30,1.8,3.1,58.8,1.3,3.2,39.3,2.4,5.7,42.9,0.2,0.3,50.0,0.1,0.4,35.7,2.1,4.9,43.3
Kamari Murphy,LIN,25,2.4,3.9,61.9,0.3,1.0,31.8,0.0,0.3,13.3,0.0,0.3,15.4,0.1,0.4,18.8,0.3,0.9,30.0
Kameron Chatman,ERI,23,1.0,1.9,53.6,0.6,1.1,56.3,0.7,1.1,62.5,0.2,0.6,37.5,0.1,0.2,50.0,0.5,2.5,18.4
Kanellos Garbis,WIS,26,0.3,0.3,75.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,100
Karrington Ward,WCB,26,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,-,-,-,0.0,1.0,0.0
Kay Felder,RAP,24,2.2,3.7,58.5,1.2,2.7,43.3,0.9,3.2,28.6,0.3,0.4,75.0,0.2,0.5,33.3,1.5,5.3,27.6
Keenan Evans,DEL,22,1.6,2.7,60.0,0.6,1.6,37.0,0.3,1.2,27.8,0.1,0.3,33.3,0.2,0.3,63.6,1.0,2.6,37.0
Keita Bates-Diop,IWA,23,3.6,5.3,68.2,0.9,3.4,27.3,0.6,1.9,33.3,0.2,0.7,27.3,0.1,0.4,33.3,1.4,4.2,34.3
Keith Hornsby,TEX,27,1.4,2.4,60.6,0.3,0.7,37.5,1.0,2.2,43.1,0.5,1.0,48.9,0.3,0.5,63.6,1.0,2.3,45.2
Kellen Dunham,CAP,26,0.3,0.6,56.7,0.0,0.2,18.2,0.6,1.2,51.7,0.3,0.6,48.4,0.3,0.5,56.5,1.0,2.3,43.6
Kendall Gray,LIN,27,1.4,2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrick Nunn,SCW,23,2.4,3.7,67.0,1.6,3.4,48.5,1.9,4.0,46.7,0.3,0.7,46.9,0.1,0.4,25.0,1.3,4.0,32.0
Kenneth Smith,GRD,26,1.0,1.7,57.1,0.8,2.0,40.2,0.6,1.8,36.3,0.0,0.0,0.0,0.0,0.1,40.0,0.8,2.1,36.6
Kenrich Williams,TEX,24,3.6,4.9,73.5,0.6,1.3,44.4,1.1,2.9,40.0,0.1,0.1,100,0.0,0.4,0.0,0.6,2.1,26.7
Kentrell Barkley,RGV,22,0.5,1.0,50.0,0.1,0.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Kethan Savage,WES,25,0.8,1.3,60.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.5,50.0
Kevin Hervey,OKL,22,1.9,2.7,69.8,0.3,0.6,50.0,0.2,0.3,45.5,0.3,0.8,37.5,0.2,0.6,29.4,1.3,4.2,31.1
Kevin Olekaibe,LIN,26,0.2,0.2,100,0.0,0.3,0.0,0.0,0.2,0.0,0.6,1.0,60.0,0.3,1.3,25.0,0.3,2.5,13.3
Kevin Young,SCW,29,1.5,2.6,59.0,0.2,0.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Khadeem Lattin,NAS,24,1.3,2.2,60.7,0.1,0.5,26.3,0.1,0.3,40.0,0.0,0.0,0.0,0.1,0.1,66.7,0.0,0.2,0.0
Khyri Thomas,GRD,23,2.4,3.5,68.6,1.0,2.2,45.5,1.2,2.7,44.4,0.4,0.7,57.1,0.4,0.7,57.1,2.0,4.9,40.8
Kobi Simmons,CTN,21,3.5,5.4,65.1,0.9,2.8,32.0,1.0,2.8,35.7,0.1,0.3,25.0,0.2,0.4,38.5,0.9,3.3,26.5
Kostas Antetokounmpo,TEX,21,2.9,4.3,67.6,0.4,1.2,32.7,0.1,0.4,13.3,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.8,31.3
Kyle Benjamin,SLC,27,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Casey,MHU,28,1.7,2.6,64.8,0.7,1.5,47.5,0.5,1.2,43.5,0.1,0.2,50.0,0.0,0.1,50.0,0.5,1.5,32.2
Kyle Collinsworth,RAP,27,2.9,5.4,53.0,0.8,1.9,38.9,0.0,0.1,0.0,0.3,1.0,33.3,0.1,0.6,25.0,0.2,0.6,37.5
Kyle Randall,DEL,27,0.6,1.6,41.0,0.2,0.8,26.3,0.3,0.6,42.9,0.2,0.5,36.4,0.0,0.2,0.0,0.4,1.0,37.5
Kyle Washington,SXF,25,0.6,1.1,55.6,1.0,1.8,55.6,0.3,0.8,41.7,0.1,0.2,50.0,0.0,0.4,0.0,0.3,0.7,45.5
L.G. Gill,IWA,24,1.5,2.4,61.0,0.2,0.6,33.3,0.3,0.6,40.9,0.0,0.0,0.0,0.1,0.1,100,0.1,0.1,75.0
LaQuinton Ross,MHU,27,1.1,1.9,58.3,0.4,1.0,36.4,0.1,0.5,11.1,0.1,0.1,100,0.2,0.3,66.7,0.3,1.2,24.0
Lavoy Allen,CAP,30,2.8,3.8,72.3,0.8,1.5,53.8,0.2,0.9,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,50.0
Lenjo Kilo,DEL,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.5,0.5,100
Levi Randolph,CTN,26,2.0,3.1,64.9,0.6,1.5,40.0,0.9,2.5,35.5,0.2,0.6,44.4,0.2,0.5,40.0,1.5,3.2,46.3
Liam McMorrow,OKL,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lonnie Walker IV,AUS,20,2.3,4.3,54.0,0.8,2.1,39.3,2.3,5.4,42.4,0.1,0.3,25.0,0.0,0.1,50.0,1.1,2.9,36.5
Luke Kennard,GRD,23,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,5.0,9.0,55.6
Luke Kornet,WES,23,2.7,4.1,66.7,0.5,1.4,40.0,0.5,1.6,33.3,0.0,0.1,0.0,0.1,0.3,33.3,2.8,5.6,50.0
Luke Petrasek,GBO,23,1.0,1.4,75.0,0.1,0.5,25.0,0.0,0.3,18.2,0.2,0.4,55.6,0.1,0.4,35.7,0.8,2.0,38.1
Malachi Richardson,CTN,23,1.3,2.8,45.5,0.9,2.4,37.9,1.1,2.3,46.4,0.3,0.8,40.0,0.4,0.9,45.5,2.8,7.2,38.4
Malcolm Miller,RAP,26,1.8,2.6,70.6,0.2,0.9,25.0,0.1,0.2,33.3,0.2,0.5,42.9,0.2,0.8,20.0,1.2,3.4,36.4
Malik Newman,CTN,22,1.4,2.0,71.1,0.5,1.2,38.5,0.8,2.0,41.7,0.2,0.5,35.0,0.2,0.5,47.4,1.1,3.3,34.1
Malik Pope,GBO,22,1.5,2.6,55.8,0.2,0.7,23.1,0.2,0.7,30.8,0.1,0.3,40.0,0.2,0.5,44.4,0.4,1.5,24.1
Manu Lecomte,ACC,23,1.2,1.9,64.8,0.7,1.8,37.1,0.7,1.3,50.0,0.5,0.9,53.5,0.3,0.5,56.0,1.5,4.0,36.5
Marc Loving,ACC,24,0.7,1.2,61.1,0.1,0.2,40.0,0.1,0.4,33.3,0.3,0.7,53.3,0.2,0.7,26.7,0.6,2.3,26.4
Marcus Allen,SBL,24,2.6,4.4,60.1,0.4,1.4,31.0,0.1,0.4,22.2,0.1,0.3,33.3,0.1,0.3,30.0,0.2,0.6,29.6
Marcus Derrickson,SCW,23,1.5,2.4,64.3,0.6,1.6,40.0,1.0,2.4,41.7,0.1,0.4,25.0,0.2,0.3,66.7,1.7,3.9,42.3
Marcus Georges-Hunt,MNE,25,2.9,5.0,57.8,0.3,1.3,25.0,0.0,0.1,0.0,0.6,1.3,41.7,0.3,0.4,66.7,0.7,2.6,26.1
Marcus Keene,MHU,24,1.0,1.7,60.5,0.6,1.2,48.3,1.0,2.3,43.9,0.0,0.2,0.0,0.2,0.3,60.0,0.5,2.0,25.5
Marcus Lee,SXF,24,3.2,3.9,81.1,0.3,0.7,46.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Marcus Posley,SXF,25,0.5,0.5,100,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,2.5,0.0
Marcus Thornton,GRD,32,2.9,4.6,64.4,1.1,2.8,38.1,0.8,2.0,40.8,0.5,1.0,51.4,0.5,1.1,43.6,2.1,5.8,35.5
Marcus Williams,STO,33,0.3,0.6,45.0,0.3,1.0,32.3,1.0,2.7,36.5,0.1,0.2,33.3,0.1,0.3,37.5,1.2,4.2,29.2
Mareik Isom,SLC,24,0.3,0.4,75.0,0.1,0.4,14.3,0.1,0.3,16.7,0.0,0.2,0.0,0.1,0.4,40.0,0.3,1.3,19.2
Markel Crawford,MHU,24,1.1,1.9,57.1,0.6,1.5,38.6,1.1,2.6,42.3,0.2,0.4,36.8,0.1,0.4,22.2,1.0,3.1,31.0
Marquise Moore,IWA,24,2.2,3.7,58.1,0.7,1.8,36.4,0.8,2.1,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3
Matt Farrell,DEL,23,1.0,1.9,55.3,0.4,1.0,46.5,0.6,1.5,40.3,0.1,0.3,25.0,0.2,0.3,63.6,1.7,4.9,34.7
Matt Jones,STO,24,1.6,2.6,60.9,0.8,2.0,39.8,0.4,1.2,36.2,0.2,0.6,40.7,0.2,0.6,36.7,1.2,3.7,33.5
Matthew Fisher-Davis,WES,23,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.1,100,0.2,1.0,20.0,0.0,0.1,0.0,0.3,1.3,21.4
Maverick Rowan,MNE,22,0.8,1.2,66.7,0.1,0.4,33.3,0.4,0.9,46.2,0.1,0.5,14.3,0.1,0.5,16.7,0.5,1.4,33.3
Melvin Frazier Jr.,LAK,22,2.8,4.8,58.6,0.3,1.7,20.0,0.6,1.7,36.7,0.1,0.2,25.0,0.2,0.3,60.0,0.6,1.7,36.7
MiKyle McIntosh,RAP,24,3.0,4.5,65.5,0.4,1.2,32.3,0.1,0.2,50.0,0.3,0.5,50.0,0.0,0.3,14.3,0.4,1.8,25.0
Michael Bethea Jr.,GRD,24,1.0,1.4,68.2,0.5,1.1,42.0,0.4,1.2,35.2,0.4,1.0,40.0,0.2,0.7,31.3,1.3,3.8,34.5
Michael Bryson,DEL,24,0.8,1.3,60.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,1.5,50.0,0.0,0.0,0.0,0.3,0.8,33.3
Michael Frazier,RGV,25,2.5,4.3,57.2,0.3,0.8,38.9,0.1,0.3,35.7,0.4,1.2,36.4,0.4,0.8,47.2,2.0,5.4,37.3
Michael Gbinije,SCW,27,0.5,0.9,58.1,0.2,0.4,47.4,0.5,1.4,37.9,0.4,0.7,53.1,0.2,0.6,40.0,0.8,2.6,30.0
Michael Orris,CAP,24,0.3,1.8,14.3,0.5,0.5,100,0.5,1.3,40.0,0.0,0.3,0.0,0.3,0.3,100,0.0,0.3,0.0
Michael Qualls,WIS,25,2.2,4.0,55.6,0.4,1.4,29.6,0.8,1.7,43.7,0.2,0.6,42.3,0.3,0.8,40.5,0.7,2.9,24.3
Mike Davis,CAP,30,0.7,0.9,78.9,0.3,0.5,50.0,0.5,1.4,36.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Creek,LIN,27,5.1,7.7,65.8,0.5,1.4,35.7,0.0,0.1,16.7,0.1,0.5,27.8,0.1,0.4,14.3,0.2,0.7,23.3
Moritz Wagner,SBL,22,4.3,5.5,78.8,0.0,1.2,0.0,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.2,0.0,2.0,6.0,33.3
Muhammad-Ali Abdur-Rahkman,CTN,24,0.8,1.2,63.9,0.2,0.6,37.9,0.0,0.2,12.5,0.2,0.3,50.0,0.1,0.2,40.0,1.0,2.8,34.8
Mychal Mulder,WCB,25,1.8,3.1,58.1,0.1,0.3,21.4,0.1,0.2,62.5,0.4,0.8,51.4,0.5,1.1,48.0,2.0,5.1,38.2
Myck Kabongo,RAP,27,1.1,2.5,44.6,0.3,0.8,33.3,0.1,0.2,40.0,0.0,0.2,0.0,0.1,0.3,28.6,0.2,1.2,15.0
Nate Hickman,WES,24,0.3,0.6,50.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.7,20.0
Nate Mason,TEX,23,0.8,1.6,52.4,0.5,1.4,38.9,1.5,3.5,43.5,0.1,0.3,33.3,0.0,0.1,0.0,1.1,2.9,36.8
Naz Mitrou-Long,SLC,25,3.4,5.0,67.1,0.4,1.6,25.0,0.3,0.9,35.7,0.5,1.2,39.5,0.4,0.6,57.9,1.6,5.4,29.3
Nick Johnson,WIS,26,1.7,3.1,56.1,0.5,1.5,33.3,1.4,4.1,33.1,0.1,0.3,33.3,0.1,0.2,66.7,1.2,4.2,29.5
Nick King,MNE,23,2.4,3.9,62.0,0.5,1.2,39.5,0.2,0.3,50.0,0.1,0.3,25.0,0.1,0.4,18.2,0.4,1.5,24.5
Nigel Johnson,CTN,24,0.3,0.8,33.3,0.3,0.8,33.3,0.5,1.5,33.3,0.3,0.3,100,0.0,0.3,0.0,0.3,0.8,33.3
Nino Johnson,MHU,26,2.2,3.2,69.6,0.4,1.0,40.0,0.1,0.3,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Allen,CAP,24,1.3,2.0,64.0,0.6,1.5,40.0,0.3,0.9,34.2,0.3,0.8,41.4,0.0,0.2,16.7,1.0,3.4,28.6
Norvel Pelle,DEL,26,4.3,6.0,72.1,0.3,0.5,57.9,0.1,0.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuni Omot,LIN,24,1.1,1.9,59.0,0.2,0.8,23.5,0.0,0.1,0.0,0.2,0.6,26.3,0.2,0.4,37.5,0.3,1.6,21.7
Okaro White,LIN,26,2.3,4.1,55.8,0.6,1.7,33.3,0.6,1.4,44.8,0.3,0.8,35.3,0.2,0.6,27.3,0.9,2.8,32.2
Oleksandr Kobets,CAP,23,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.3,0.3,100
Omari Johnson,FWN,30,1.5,2.3,65.5,0.4,1.1,32.7,0.5,1.2,38.7,0.2,0.8,29.3,0.3,0.7,43.8,2.1,5.7,36.4
Omari Spellman,ERI,21,2.7,4.0,66.7,0.0,0.7,0.0,0.3,1.3,25.0,0.0,1.0,0.0,0.0,0.3,0.0,2.3,6.0,38.9
PJ Dozier,MNE,22,4.7,7.6,61.1,0.8,2.2,35.0,1.2,3.2,39.0,0.1,0.2,33.3,0.2,0.5,42.9,1.3,4.5,29.8
Parker Jackson-Cartwright,WES,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Watson,WES,24,1.8,2.9,61.0,0.1,0.5,21.7,0.2,0.7,25.7,0.2,0.8,27.0,0.4,0.9,42.9,0.5,1.3,34.3
Pe'Shon Howard,CAP,28,0.8,2.0,42.3,0.1,0.8,15.4,0.6,1.8,34.9,0.3,0.8,40.0,0.2,0.5,40.0,1.7,4.0,41.3
Peter Jok,NAS,25,0.8,1.3,58.9,0.2,0.8,22.9,1.2,2.7,44.9,0.5,1.2,43.1,0.4,0.6,56.0,1.9,4.9,38.6
Phillip Carr,CTN,23,0.3,0.6,57.1,0.0,0.3,0.0,0.4,0.8,47.4,0.1,0.2,33.3,0.1,0.3,20.0,0.1,0.4,22.2
