Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Elliot Williams,"Jazz, Hornets, Pelicans",2014-2015,REG,13,0.500,0.000,0.222,0.444,0.000,21.62,5.41,24.32,48.65,0.00,17.81,16.86,18.39
Trevor Booker,Jazz,2014-2015,REG,79,0.603,0.391,0.290,0.358,0.000,54.55,13.85,13.42,17.53,0.65,9.88,7.01,12.59
Quincy Pondexter,"Grizzlies, Pelicans",2014-2015,REG,75,0.529,0.333,0.414,0.376,0.000,30.87,8.05,6.49,54.14,0.45,16.09,14.01,17.59
Greivis Vasquez,Raptors,2014-2015,REG,82,0.447,0.429,0.431,0.385,0.000,29.50,11.91,10.21,47.94,0.43,16.34,15.34,17.03
Hassan Whiteside,"Grizzlies, Heat",2014-2015,REG,47,0.662,0.483,0.333,0.000,0.000,82.69,14.99,2.33,0.00,0.00,3.66,2.75,5.18
Landry Fields,Raptors,2014-2015,REG,26,0.500,0.429,0.000,0.500,0.000,78.05,17.07,0.00,4.88,0.00,5.02,3.70,6.29
Lance Stephenson,Hornets,2014-2015,REG,61,0.517,0.389,0.318,0.175,0.000,37.64,16.36,26.91,18.73,0.36,12.50,9.04,14.59
Jerome Jordan,Nets,2014-2015,REG,44,0.568,0.333,0.286,0.000,0.000,86.17,6.38,7.45,0.00,0.00,3.04,1.88,4.36
Jeremy Evans,Jazz,2014-2015,REG,38,0.707,0.167,0.000,0.400,0.000,70.69,10.34,10.34,8.62,0.00,6.12,2.72,10.31
Donald Sloan,Pacers,2014-2015,REG,53,0.559,0.333,0.283,0.318,0.000,40.17,10.11,12.92,36.24,0.56,13.57,10.42,15.76
Timofey Mozgov,"Nuggets, Cavaliers",2014-2015,REG,81,0.608,0.304,0.431,0.333,0.000,77.56,9.89,11.48,1.06,0.00,4.54,3.00,6.45
Gary Neal,"Hornets, Timberwolves",2014-2015,REG,54,0.323,0.495,0.404,0.305,0.000,19.09,19.28,29.03,32.60,0.00,16.33,15.97,16.55
Jeremy Lin,Lakers,2014-2015,REG,74,0.526,0.377,0.325,0.371,0.000,38.63,16.18,18.32,26.72,0.15,12.82,10.81,14.29
Ish Smith,"Thunder, 76ers",2014-2015,REG,55,0.450,0.229,0.125,0.300,0.000,68.39,13.08,2.18,16.35,0.00,7.84,6.10,8.96
Jeff Adrien,Timberwolves,2014-2015,REG,17,0.455,0.333,0.400,0.000,0.000,75.00,13.64,11.36,0.00,0.00,4.86,4.21,5.36
Elijah Millsap,Jazz,2014-2015,REG,47,0.429,0.167,0.211,0.318,0.000,44.12,10.08,7.98,36.97,0.84,13.10,10.63,14.37
Chris Johnson,Bucks,2014-2015,REG,1,1.000,1.000,0.000,0.333,0.000,20.00,20.00,0.00,60.00,0.00,17.60,13.33,24.00
Lance Thomas,"Thunder, Knicks",2014-2015,REG,61,0.485,0.417,0.338,0.333,0.000,38.24,23.30,33.48,4.75,0.23,11.07,9.63,12.08
Arinze Onuaku,Timberwolves,2014-2015,REG,6,0.857,0.000,0.000,0.000,0.000,100.00,0.00,0.00,0.00,0.00,2.00,1.75,3.50
Kyrie Irving,Cavaliers,2014-2015,REG,75,0.528,0.409,0.479,0.413,0.500,39.87,16.05,13.53,30.39,0.16,12.87,11.65,13.94
Derrick Williams,Kings,2014-2015,REG,74,0.598,0.257,0.354,0.320,0.000,45.53,7.63,14.16,32.68,0.00,12.18,8.97,14.77
Enes Kanter,"Jazz, Thunder",2014-2015,REG,75,0.606,0.396,0.321,0.356,0.000,66.09,10.91,18.14,4.86,0.00,6.91,4.94,9.04
Tristan Thompson,Cavaliers,2014-2015,REG,82,0.581,0.280,0.375,0.000,0.000,88.11,10.25,1.64,0.00,0.00,2.81,1.75,4.10
Jonas Valanciunas,Raptors,2014-2015,REG,80,0.603,0.431,0.375,0.000,0.000,84.62,10.20,5.02,0.16,0.00,4.09,3.22,5.25
Bismack Biyombo,Hornets,2014-2015,REG,64,0.568,0.125,0.000,0.000,0.000,94.62,4.30,1.08,0.00,0.00,2.04,0.98,3.31
Brandon Knight,"Bucks, Suns",2014-2015,REG,63,0.513,0.342,0.367,0.389,0.000,33.56,8.22,22.07,36.15,0.00,14.64,13.06,15.78
Kemba Walker,Hornets,2014-2015,REG,62,0.463,0.316,0.420,0.309,0.000,34.56,15.80,21.10,28.03,0.51,13.79,12.01,14.91
Jimmer Fredette,Pelicans,2014-2015,REG,50,0.557,0.333,0.400,0.188,0.000,37.20,18.29,15.24,29.27,0.00,13.27,9.95,15.34
Klay Thompson,Warriors,2014-2015,REG,77,0.572,0.416,0.411,0.440,0.000,24.79,16.29,17.07,41.62,0.23,16.08,14.78,17.20
Alec Burks,Jazz,2014-2015,REG,27,0.457,0.250,0.403,0.394,0.000,43.00,12.00,22.33,22.00,0.67,12.32,11.21,13.08
Markieff Morris,Suns,2014-2015,REG,82,0.542,0.506,0.397,0.322,0.000,32.73,31.09,19.91,16.09,0.18,12.02,10.34,13.48
Marcus Morris,Suns,2014-2015,REG,81,0.544,0.449,0.454,0.364,0.125,22.41,18.09,18.48,39.97,1.05,16.23,14.51,17.55
Zoran Dragic,"Suns, Heat",2014-2015,REG,16,0.615,0.000,0.000,0.214,0.000,43.33,3.33,6.67,46.67,0.00,13.53,7.00,17.32
Jabari Parker,Bucks,2014-2015,REG,25,0.586,0.420,0.333,0.250,0.000,57.79,19.01,17.11,6.08,0.00,7.75,5.16,10.25
Andrew Wiggins,Timberwolves,2014-2015,REG,82,0.557,0.369,0.307,0.312,0.000,46.84,19.77,22.32,10.98,0.09,10.24,7.71,12.20
Jarnell Stokes,Grizzlies,2014-2015,REG,19,0.594,0.500,0.000,0.000,0.000,86.49,10.81,2.70,0.00,0.00,3.32,2.62,4.25
James Michael McAdoo,Warriors,2014-2015,REG,15,0.561,0.500,0.000,0.000,0.000,93.18,4.55,2.27,0.00,0.00,2.23,1.29,3.35
Johnny O'Bryant,Bucks,2014-2015,REG,34,0.462,0.316,0.286,0.000,0.000,43.33,15.83,40.83,0.00,0.00,10.28,8.25,11.46
Cameron Bairstow,Bulls,2014-2015,REG,18,0.167,0.000,0.333,0.000,0.000,42.86,14.29,42.86,0.00,0.00,9.93,12.67,9.18
Alex Kirk,Cavaliers,2014-2015,REG,5,0.500,0.000,0.000,0.000,0.000,50.00,0.00,50.00,0.00,0.00,9.75,1.00,12.67
Julius Randle,Lakers,2014-2015,REG,1,0.000,1.000,0.000,0.000,0.000,33.33,33.33,33.33,0.00,0.00,9.00,9.00,9.00
Noah Vonleh,Hornets,2014-2015,REG,25,0.423,0.333,0.200,0.385,0.000,68.42,7.89,6.58,17.11,0.00,8.12,7.23,8.70
Dwight Powell,"Celtics, Mavericks",2014-2015,REG,29,0.567,0.667,0.350,0.273,0.000,44.78,8.96,29.85,16.42,0.00,11.04,8.39,13.33
Adreian Payne,"Hawks, Timberwolves",2014-2015,REG,32,0.471,0.349,0.409,0.111,0.000,46.36,19.55,30.00,4.09,0.00,10.08,8.68,11.07
Kyle Anderson,Spurs,2014-2015,REG,33,0.450,0.278,0.250,0.273,0.000,44.94,20.22,22.47,12.36,0.00,10.91,8.52,12.19
TJ Warren,Suns,2014-2015,REG,40,0.639,0.390,0.368,0.263,0.000,62.15,19.16,8.88,8.88,0.93,7.61,4.82,10.72
Marcus Smart,Celtics,2014-2015,REG,67,0.475,0.333,0.295,0.340,0.000,25.58,8.18,9.22,56.18,0.84,17.54,15.68,18.62
Kendall Marshall,Bucks,2014-2015,REG,28,0.559,0.455,0.400,0.391,0.000,33.66,10.89,9.90,45.54,0.00,15.23,13.24,16.89
Donatas Motiejunas,Rockets,2014-2015,REG,71,0.570,0.413,0.222,0.374,0.000,64.95,14.88,1.29,18.74,0.14,8.37,6.83,9.95
Kenneth Faried,Nuggets,2014-2015,REG,75,0.540,0.324,0.280,0.250,0.000,86.28,9.24,3.40,0.54,0.54,3.87,2.44,5.33
Nikola Mirotic,Bulls,2014-2015,REG,82,0.553,0.326,0.424,0.318,0.000,33.01,7.37,9.46,49.84,0.32,15.55,12.60,17.57
Reggie Jackson,"Thunder, Pistons",2014-2015,REG,77,0.544,0.414,0.357,0.306,0.000,42.67,15.99,17.11,23.93,0.31,12.09,9.58,14.01
Jordan Hamilton,Clippers,2014-2015,REG,14,0.429,0.250,0.000,0.476,0.000,20.00,11.43,8.57,60.00,0.00,18.80,19.14,18.57
Norris Cole,"Heat, Pelicans",2014-2015,REG,75,0.478,0.433,0.445,0.310,0.000,31.96,12.03,24.60,31.24,0.18,14.38,12.79,15.50
Cory Joseph,Spurs,2014-2015,REG,79,0.564,0.458,0.453,0.390,0.000,53.53,17.52,18.25,9.98,0.73,9.37,7.82,10.95
Jimmy Butler,Bulls,2014-2015,REG,65,0.560,0.422,0.373,0.384,0.000,42.87,14.80,21.16,20.83,0.33,11.76,9.64,13.58
Bojan Bogdanovic,Nets,2014-2015,REG,78,0.619,0.371,0.326,0.355,0.000,37.33,10.76,7.47,44.44,0.00,14.06,11.17,16.45
Kyle Singler,"Pistons, Thunder",2014-2015,REG,80,0.422,0.333,0.302,0.397,0.000,24.44,9.42,11.88,54.26,0.00,17.07,16.54,17.41
Shelvin Mack,Hawks,2014-2015,REG,55,0.473,0.500,0.425,0.315,0.000,31.85,10.96,13.70,43.49,0.00,15.38,13.42,16.70
Chandler Parsons,Mavericks,2014-2015,REG,66,0.552,0.390,0.458,0.380,0.000,43.91,7.12,7.12,41.86,0.00,13.14,11.05,14.93
Jon Leuer,Grizzlies,2014-2015,REG,63,0.583,0.423,0.325,0.241,0.000,42.12,19.05,28.21,10.62,0.00,10.76,7.88,13.05
Darius Morris,Nets,2014-2015,REG,38,0.489,0.267,0.231,0.212,0.000,42.45,14.15,12.26,31.13,0.00,12.75,8.47,14.94
Malcolm Lee,76ers,2014-2015,REG,1,0.000,0.000,0.000,0.000,0.000,100.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00
Lavoy Allen,Pacers,2014-2015,REG,63,0.624,0.261,0.372,0.000,0.000,47.00,15.33,37.67,0.00,0.00,9.79,7.52,11.83
E'Twaun Moore,Bulls,2014-2015,REG,56,0.563,0.472,0.294,0.342,0.000,34.53,25.90,12.23,27.34,0.00,12.67,10.56,14.36
Isaiah Thomas,"Suns, Celtics",2014-2015,REG,67,0.524,0.333,0.375,0.375,0.000,34.00,10.54,12.05,43.16,0.25,14.85,13.03,16.16
Dwight Buycks,Lakers,2014-2015,REG,6,0.333,0.800,0.222,0.636,0.000,37.50,12.50,22.50,27.50,0.00,13.05,14.44,11.91
Malcolm Thomas,76ers,2014-2015,REG,17,0.586,0.000,0.333,0.000,0.000,72.50,2.50,7.50,17.50,0.00,7.43,2.06,11.82
Greg Smith,Mavericks,2014-2015,REG,42,0.625,0.000,0.000,0.000,0.000,97.96,2.04,0.00,0.00,0.00,1.65,1.27,2.26
Anthony Davis,Pelicans,2014-2015,REG,68,0.651,0.460,0.416,0.111,0.000,48.14,22.21,28.63,0.76,0.25,9.04,7.06,11.31
Michael Kidd-Gilchrist,Hornets,2014-2015,REG,55,0.508,0.476,0.371,0.000,0.000,61.62,8.71,29.67,0.00,0.00,7.55,6.20,8.72
Bradley Beal,Wizards,2014-2015,REG,63,0.568,0.380,0.332,0.409,0.000,27.46,14.20,27.93,30.40,0.00,14.93,13.16,16.25
Dion Waiters,"Cavaliers, Thunder",2014-2015,REG,80,0.464,0.415,0.385,0.297,0.000,41.01,6.87,26.11,26.00,0.00,12.57,10.66,13.82
Thomas Robinson,"Trail Blazers, 76ers",2014-2015,REG,54,0.554,0.310,0.265,0.000,0.000,75.00,11.15,13.08,0.00,0.77,5.53,3.24,7.69
Damian Lillard,Trail Blazers,2014-2015,REG,82,0.562,0.427,0.387,0.344,0.000,35.74,7.57,14.63,41.91,0.15,14.85,12.21,16.87
Terrence Ross,Raptors,2014-2015,REG,82,0.503,0.385,0.440,0.372,0.000,20.11,13.13,14.91,51.44,0.41,17.47,16.15,18.39
Andre Drummond,Pistons,2014-2015,REG,82,0.534,0.284,0.000,0.000,0.000,92.52,6.96,0.31,0.00,0.21,2.41,1.41,3.46
Harrison Barnes,Warriors,2014-2015,REG,82,0.595,0.425,0.398,0.404,0.000,39.72,11.28,15.92,32.92,0.15,12.92,10.68,15.00
Austin Rivers,"Pelicans, Clippers",2014-2015,REG,76,0.519,0.322,0.317,0.295,0.000,48.98,11.99,12.80,26.22,0.00,11.31,8.71,13.11
Meyers Leonard,Trail Blazers,2014-2015,REG,55,0.649,0.516,0.480,0.423,0.000,31.43,12.65,10.20,45.31,0.41,15.28,12.79,17.87
Iman Shumpert,"Knicks, Cavaliers",2014-2015,REG,62,0.500,0.403,0.448,0.344,0.000,22.93,13.16,22.29,41.40,0.21,16.22,14.79,17.21
Aaron Gordon,Magic,2014-2015,REG,47,0.603,0.115,0.308,0.277,0.000,58.17,12.50,6.25,22.60,0.48,9.12,5.35,12.17
Kawhi Leonard,Spurs,2014-2015,REG,64,0.611,0.473,0.416,0.349,0.000,33.45,24.45,18.73,23.36,0.00,12.69,10.57,14.65
Mo Williams,"Timberwolves, Hornets",2014-2015,REG,68,0.459,0.453,0.419,0.348,0.000,11.40,12.33,35.81,39.77,0.70,18.90,17.94,19.54
James Jones,Cavaliers,2014-2015,REG,57,0.400,0.250,0.538,0.360,0.000,2.49,3.98,6.47,87.06,0.00,23.00,23.01,23.00
Kyle Korver,Hawks,2014-2015,REG,75,0.618,0.357,0.449,0.492,0.000,5.67,4.67,14.83,74.83,0.00,21.70,21.60,21.81
John Henson,Bucks,2014-2015,REG,67,0.579,0.444,0.000,0.000,0.000,91.91,7.80,0.29,0.00,0.00,2.49,1.86,3.32
Jeremy Lamb,Thunder,2014-2015,REG,47,0.636,0.297,0.290,0.343,0.000,27.16,15.23,12.76,44.44,0.41,15.84,12.94,17.84
Tobias Harris,Magic,2014-2015,REG,68,0.569,0.403,0.394,0.367,0.000,44.92,15.94,13.58,25.35,0.21,11.62,9.33,13.63
Nikola Vucevic,Magic,2014-2015,REG,74,0.580,0.466,0.468,0.333,0.000,50.33,23.47,25.70,0.50,0.00,8.59,7.59,9.70
Anderson Varejao,Cavaliers,2014-2015,REG,26,0.588,0.462,0.571,0.000,0.000,65.50,19.50,14.00,1.00,0.00,6.39,5.52,7.46
Trevor Ariza,Rockets,2014-2015,REG,82,0.573,0.216,0.347,0.349,0.000,26.70,4.13,8.04,61.12,0.00,17.19,14.61,18.93
Beno Udrih,Grizzlies,2014-2015,REG,79,0.600,0.528,0.503,0.266,0.000,25.05,25.45,30.26,18.84,0.40,13.74,11.79,15.59
Tony Allen,Grizzlies,2014-2015,REG,63,0.526,0.400,0.261,0.345,0.000,83.08,5.49,5.05,6.37,0.00,4.27,3.11,5.40
Kevin Martin,Timberwolves,2014-2015,REG,39,0.504,0.444,0.403,0.391,0.000,18.05,21.57,29.71,30.67,0.00,16.00,15.07,16.70
Jameer Nelson,"Mavericks, Celtics, Nuggets",2014-2015,REG,63,0.564,0.389,0.387,0.345,0.000,23.21,7.14,18.45,51.19,0.00,17.76,15.69,19.18
Dorell Wright,Trail Blazers,2014-2015,REG,48,0.479,0.385,0.143,0.383,0.000,25.26,6.84,11.05,56.32,0.53,17.31,15.61,18.34
Udonis Haslem,Heat,2014-2015,REG,61,0.545,0.286,0.358,0.200,0.000,56.07,11.72,28.03,4.18,0.00,8.31,6.27,9.95
Dwight Howard,Rockets,2014-2015,REG,41,0.613,0.211,0.500,1.000,0.000,94.56,4.49,0.47,0.24,0.24,2.72,1.78,4.08
Ben Gordon,Magic,2014-2015,REG,56,0.492,0.511,0.437,0.365,0.000,20.42,16.26,30.10,33.22,0.00,16.38,15.05,17.41
Shaun Livingston,Warriors,2014-2015,REG,78,0.574,0.446,0.464,0.000,0.000,41.12,51.27,7.11,0.25,0.25,8.29,7.15,9.42
Devin Harris,Mavericks,2014-2015,REG,76,0.557,0.270,0.389,0.360,0.200,31.87,7.06,10.31,49.81,0.95,16.01,13.50,17.81
Luol Deng,Heat,2014-2015,REG,71,0.592,0.426,0.404,0.359,0.000,40.15,12.83,19.19,27.57,0.25,12.49,10.13,14.57
Andre Iguodala,Warriors,2014-2015,REG,77,0.679,0.333,0.375,0.361,0.000,34.22,9.78,13.03,41.75,1.22,14.79,11.09,17.99
Sebastian Telfair,Thunder,2014-2015,REG,16,0.452,0.286,0.438,0.300,0.000,33.60,5.60,12.80,48.00,0.00,15.53,13.83,16.52
Kris Humphries,Wizards,2014-2015,REG,64,0.538,0.458,0.430,0.000,0.000,41.26,18.61,38.57,1.57,0.00,10.39,9.18,11.47
Al Jefferson,Hornets,2014-2015,REG,65,0.539,0.420,0.391,0.400,0.000,54.01,32.31,13.18,0.50,0.00,7.73,6.71,8.67
Josh Smith,"Pistons, Rockets",2014-2015,REG,83,0.503,0.353,0.310,0.324,0.000,55.45,7.00,14.61,22.84,0.10,10.63,8.19,12.43
J.R. Smith,"Knicks, Cavaliers",2014-2015,REG,70,0.522,0.339,0.462,0.389,0.000,15.23,7.42,20.93,55.50,0.93,19.39,18.31,20.16
Zaza Pachulia,Bucks,2014-2015,REG,73,0.490,0.487,0.269,0.000,0.000,54.44,30.25,14.74,0.57,0.00,7.46,6.33,8.39
Matt Bonner,Spurs,2014-2015,REG,72,0.446,0.606,0.200,0.368,0.000,24.35,14.35,6.52,54.35,0.43,17.46,15.94,18.51
Boris Diaw,Spurs,2014-2015,REG,81,0.559,0.435,0.375,0.320,0.000,49.84,14.56,8.86,26.74,0.00,11.11,8.81,13.06
Kendrick Perkins,"Thunder, Cavaliers",2014-2015,REG,68,0.476,0.344,0.000,0.000,0.000,84.23,14.41,0.90,0.00,0.45,4.18,2.97,5.18
Leandro Barbosa,Warriors,2014-2015,REG,66,0.577,0.375,0.395,0.402,0.000,47.64,12.57,11.26,28.01,0.52,11.60,9.31,13.70
Steve Blake,Trail Blazers,2014-2015,REG,81,0.441,0.350,0.426,0.364,0.000,10.43,6.13,16.56,64.11,2.76,21.69,19.88,22.75
Willie Green,Magic,2014-2015,REG,52,0.500,0.120,0.426,0.353,0.000,28.76,8.36,22.74,39.80,0.33,15.66,14.21,16.59
Dahntay Jones,Clippers,2014-2015,REG,33,0.714,0.000,0.250,0.000,0.000,33.33,28.57,19.05,19.05,0.00,12.29,3.83,15.67
Dwyane Wade,Heat,2014-2015,REG,61,0.637,0.411,0.378,0.287,0.000,35.33,26.94,28.32,9.32,0.09,11.47,9.32,13.37
David West,Pacers,2014-2015,REG,66,0.546,0.321,0.502,0.200,0.000,31.49,19.97,45.63,2.92,0.00,12.33,11.75,12.85
Luke Ridnour,Magic,2014-2015,REG,47,0.321,0.500,0.554,0.317,0.000,15.91,11.36,36.93,35.80,0.00,17.64,17.32,17.87
Nick Collison,Thunder,2014-2015,REG,66,0.567,0.267,0.260,0.271,0.000,50.60,5.98,19.92,23.51,0.00,10.90,7.13,13.61
Kirk Hinrich,Bulls,2014-2015,REG,66,0.500,0.214,0.362,0.351,0.000,20.53,7.37,27.63,44.21,0.26,17.57,16.54,18.18
Chris Kaman,Trail Blazers,2014-2015,REG,74,0.555,0.466,0.447,0.000,0.000,60.11,21.13,18.76,0.00,0.00,7.30,6.31,8.35
LeBron James,Cavaliers,2014-2015,REG,69,0.657,0.363,0.377,0.356,0.000,42.42,15.08,15.94,26.33,0.23,12.15,8.99,15.15
Carmelo Anthony,Knicks,2014-2015,REG,40,0.533,0.430,0.447,0.343,0.000,28.16,21.34,28.29,22.08,0.12,13.94,12.42,15.16
Chris Bosh,Heat,2014-2015,REG,44,0.514,0.494,0.455,0.375,0.000,23.76,24.16,29.53,22.55,0.00,14.31,13.30,15.16
Jannero Pargo,Hornets,2014-2015,REG,9,1.000,1.000,0.364,0.450,0.000,2.86,2.86,31.43,57.14,5.71,23.11,20.87,24.80
Reggie Evans,Kings,2014-2015,REG,47,0.418,0.000,1.000,0.000,0.000,93.85,3.85,0.77,1.54,0.00,3.24,1.77,4.22
Carlos Boozer,Lakers,2014-2015,REG,71,0.570,0.475,0.366,0.000,0.000,52.22,24.63,23.15,0.00,0.00,8.14,6.64,9.63
Matt Barnes,Clippers,2014-2015,REG,76,0.596,0.313,0.474,0.363,0.000,34.19,2.57,3.05,60.19,0.00,15.96,13.26,18.12
Rasual Butler,Wizards,2014-2015,REG,75,0.604,0.317,0.388,0.389,0.000,19.54,11.61,23.40,45.26,0.19,17.33,15.60,18.60
Luis Scola,Pacers,2014-2015,REG,81,0.542,0.356,0.397,0.294,0.000,53.51,9.20,34.17,2.65,0.47,9.42,7.60,11.01
Amar'e Stoudemire,"Knicks, Mavericks",2014-2015,REG,59,0.623,0.415,0.323,0.000,0.000,75.71,10.82,12.65,0.61,0.20,5.34,3.62,7.52
Caron Butler,Pistons,2014-2015,REG,78,0.486,0.441,0.426,0.384,0.000,8.84,8.59,27.27,54.55,0.76,20.37,19.29,21.11
Tayshaun Prince,"Grizzlies, Celtics, Pistons",2014-2015,REG,58,0.495,0.361,0.433,0.463,0.000,27.61,20.65,35.07,16.67,0.00,13.62,13.11,14.03
John Salmons,Pelicans,2014-2015,REG,21,0.333,0.556,0.222,0.308,0.000,6.38,19.15,19.15,55.32,0.00,19.45,18.44,19.97
Nene,Wizards,2014-2015,REG,67,0.605,0.384,0.402,0.200,0.000,56.41,20.80,21.96,0.83,0.00,7.76,6.03,9.56
Drew Gooden,Wizards,2014-2015,REG,51,0.412,0.379,0.402,0.383,0.000,28.88,10.47,38.63,21.66,0.36,14.81,14.43,15.06
Chris Andersen,Heat,2014-2015,REG,59,0.644,0.300,0.381,0.400,0.000,78.74,4.83,10.14,4.83,1.45,5.23,2.75,8.66
Mike Dunleavy,Bulls,2014-2015,REG,63,0.509,0.286,0.461,0.406,0.500,22.45,4.37,18.50,54.26,0.42,17.97,16.95,18.75
Tony Parker,Spurs,2014-2015,REG,68,0.572,0.447,0.408,0.427,0.000,41.59,19.11,28.61,10.70,0.00,10.95,9.74,12.10
Samuel Dalembert,Knicks,2014-2015,REG,32,0.487,0.333,0.438,0.000,0.000,60.00,27.69,12.31,0.00,0.00,6.75,5.37,7.84
Tim Duncan,Spurs,2014-2015,REG,77,0.596,0.385,0.356,0.400,0.000,62.52,22.22,14.41,0.61,0.24,6.90,5.19,8.70
Vince Carter,Grizzlies,2014-2015,REG,66,0.413,0.455,0.313,0.295,0.000,18.84,8.29,16.08,56.28,0.50,18.82,16.86,19.79
Dirk Nowitzki,Mavericks,2014-2015,REG,77,0.568,0.468,0.475,0.380,0.000,11.11,30.79,32.30,25.80,0.00,16.41,15.59,17.10
Paul Pierce,Wizards,2014-2015,REG,73,0.594,0.393,0.439,0.389,0.000,23.63,12.80,17.38,46.19,0.00,16.58,14.94,17.91
Nazr Mohammed,Bulls,2014-2015,REG,23,0.600,0.250,0.167,0.000,0.000,51.72,27.59,20.69,0.00,0.00,7.55,4.17,9.94
Elton Brand,Hawks,2014-2015,REG,36,0.600,0.378,0.406,0.000,0.000,26.32,38.95,33.68,1.05,0.00,11.39,10.07,12.43
Andre Miller,"Wizards, Kings",2014-2015,REG,81,0.567,0.459,0.630,0.219,0.000,57.34,21.33,9.44,11.19,0.70,8.82,6.73,10.97
Shawn Marion,Cavaliers,2014-2015,REG,57,0.525,0.350,0.000,0.255,0.000,66.29,14.98,1.12,17.60,0.00,7.60,5.09,9.61
Jason Terry,Rockets,2014-2015,REG,77,0.556,0.452,0.486,0.388,0.000,12.24,7.03,7.94,72.56,0.23,20.21,18.91,21.15
Andrei Kirilenko,Nets,2014-2015,REG,7,0.000,0.000,0.000,0.000,0.000,100.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00
Manu Ginobili,Spurs,2014-2015,REG,70,0.545,0.417,0.250,0.346,0.000,39.90,10.19,6.11,43.63,0.17,13.89,11.34,15.79
Kenyon Martin,Bucks,2014-2015,REG,11,0.438,0.000,0.400,0.000,0.000,72.73,4.55,22.73,0.00,0.00,6.14,5.00,6.92
Mike Miller,Cavaliers,2014-2015,REG,52,0.667,0.167,0.286,0.327,0.000,2.63,5.26,6.14,85.96,0.00,23.25,22.30,23.70
Jamal Crawford,Clippers,2014-2015,REG,64,0.500,0.383,0.450,0.335,0.000,17.40,14.30,24.91,42.31,1.07,18.09,16.46,19.15
Hedo Turkoglu,Clippers,2014-2015,REG,62,0.600,0.500,0.348,0.432,0.000,10.64,3.19,12.23,73.94,0.00,21.05,19.94,21.93
Tyson Chandler,Mavericks,2014-2015,REG,75,0.696,0.462,0.400,0.000,0.000,89.09,2.95,7.95,0.00,0.00,2.54,1.47,4.67
Pau Gasol,Bulls,2014-2015,REG,78,0.541,0.402,0.475,0.480,0.000,52.34,21.32,24.09,2.17,0.09,8.81,8.02,9.58
Jason Richardson,76ers,2014-2015,REG,19,0.474,0.350,0.250,0.323,0.000,21.35,11.24,13.48,53.93,0.00,17.67,15.84,18.66
Joe Johnson,Nets,2014-2015,REG,80,0.541,0.450,0.374,0.362,0.000,29.95,21.27,15.90,32.59,0.29,14.50,12.95,15.69
Richard Jefferson,Mavericks,2014-2015,REG,74,0.542,0.095,0.414,0.423,0.000,36.42,6.48,8.95,48.15,0.00,14.59,13.15,15.74
Zach Randolph,Grizzlies,2014-2015,REG,71,0.551,0.345,0.380,0.333,0.500,66.52,15.11,16.30,1.63,0.43,7.11,5.55,8.61
Brendan Haywood,Cavaliers,2014-2015,REG,22,0.526,0.300,1.000,0.000,0.000,63.33,33.33,3.33,0.00,0.00,6.23,5.50,6.88
Gerald Wallace,Celtics,2014-2015,REG,32,0.448,0.000,0.000,0.500,0.000,85.29,0.00,5.88,5.88,2.94,5.71,2.86,7.70
Kevin Garnett,"Nets, Timberwolves",2014-2015,REG,47,0.551,0.348,0.497,0.143,0.000,22.55,22.55,52.61,2.29,0.00,13.53,13.44,13.61
Kobe Bryant,Lakers,2014-2015,REG,35,0.494,0.321,0.389,0.295,0.000,22.72,22.30,29.17,25.67,0.14,15.20,13.58,16.17
