Bird Rights,Remaining,Teams,Year1,Year2,Year3,Year4,Year5,Year6,name
1st Round Pick,"$3,698,760",Landry Shamet,"$1,703,640","$1,995,120","$2,090,040","$3,768,342",,,Landry Shamet
1st Round pick,"$4,328,518",Caris LeVert,"$1,702,800","$2,625,718",,,,,Caris LeVert
,"$3,388,450",Jonah Bolden,"$1,690,000","$1,698,450","$1,766,550","$1,845,000",,,Jonah Bolden
1st Round Pick,"$3,664,440",Kyle Kuzma,"$1,689,840","$1,974,600","$3,562,178",,,,Kyle Kuzma
1st Round Pick,"$3,641,880",Tony Bradley,"$1,679,520","$1,962,360","$3,542,060",,,,Tony Bradley
1st Round Pick,"$3,615,240",Derrick White,"$1,667,160","$1,948,080","$3,516,284",,,,Derrick White
Minimum Salary,"$23,656,092",Spencer Dinwiddie,"$1,656,092","$10,600,000","$11,400,000","$12,300,000",,,Spencer Dinwiddie
,"$1,656,092",MarShon Brooks,"$1,656,092",,,,,,MarShon Brooks
1st Round Pick,"$1,655,160",Josh Hart,"$1,655,160","$1,934,160","$3,491,159",,,,Josh Hart
1st Round Pick,"$3,591,960",Robert Williams,"$1,654,440","$1,937,520","$2,029,920","$3,661,976",,,Robert Williams
1st Round Pick,"$3,570,120",Jacob Evans,"$1,644,240","$1,925,880","$2,017,320","$3,641,263",,,Jacob Evans
,"$3,364,050",Pat Connaughton,"$1,641,000","$1,723,050",,,,,Pat Connaughton
1st Round pick,"$4,238,622",DeAndre' Bembry,"$1,634,640","$2,603,982",,,,,DeAndre' Bembry
1st Round Pick,"$3,543,840",Džanan Musa,"$1,632,240","$1,911,600","$2,002,800","$3,615,054",,,Džanan Musa
,"$3,504,282",James Ennis,"$1,621,415",,,,,,James Ennis
Minimum Salary,"$1,621,415",Noah Vonleh,"$1,621,415",,,,,,Noah Vonleh
,,,,,,,,,
,,,,,,,,,
,"$1,621,415",Tim Frazier,"$1,621,415",,,,,,Tim Frazier
,"$1,621,415",Nik Stauskas,"$1,621,415",,,,,,Nik Stauskas
1st Round Pick,"$1,620,480",Omari Spellman,"$1,620,480","$1,897,800","$1,988,280","$3,588,845",,,Omari Spellman
,"$1,619,000",Luke Kornet,"$1,619,000",,,,,,Luke Kornet
,"$5,097,708",Rodions Kurucs,"$1,618,320","$1,699,236","$1,780,152","$1,861,068",,,Rodions Kurucs
Cap Space,"$1,600,520",Richaun Holmes,"$1,600,520",,,,,,Richaun Holmes
Minimum Salary,"$1,600,520",T.J. McConnell,"$1,600,520",,,,,,T.J. McConnell
,"$1,569,360",Malachi Richardson,"$1,569,360",,,,,,Malachi Richardson
,"$11,196,637",Kevon Looney,"$1,567,007",,,,,,Kevon Looney
Minimum Salary,"$1,621,330",Jahlil Okafor,"$1,567,007","$1,702,486",,,,,Jahlil Okafor
,"$1,567,007",Salah Mejri,"$1,567,007",,,,,,Salah Mejri
Cap Space,"$22,544,951",Ivica Zubac,"$1,544,951",,,,,,Ivica Zubac
Minimum Salary,"$13,544,951",Dorian Finney-Smith,"$1,544,951",,,,,,Dorian Finney-Smith
1st Round pick,"$3,896,790",Pascal Siakam,"$1,544,951","$2,351,839",,,,,Pascal Siakam
1st Round pick,"$3,883,798",Skal Labissière,"$1,544,951","$2,338,847",,,,,Skal Labissière
1st Round pick,"$3,866,686",Dejounte Murray,"$1,544,951","$2,321,735",,,,,Dejounte Murray
,"$1,544,951",Deyonta Davis,"$1,544,951",,,,,,Deyonta Davis
Cap Space,"$1,544,951",Jake Layman,"$1,544,951",,,,,,Jake Layman
Minimum Salary,"$1,544,951",Cheick Diallo,"$1,544,951",,,,,,Cheick Diallo
Cap Space,"$1,544,951",Malcolm Brogdon,"$1,544,951",,,,,,Malcolm Brogdon
,,,,,,,,,
,,,,,,,,,
Minimum Salary,"$1,544,951",Rodney McGruder,"$1,544,951",,,,,,Rodney McGruder
,"$1,544,951",Wade Baldwin,"$1,544,951",,,,,,Wade Baldwin
1st Round pick,"$1,544,951",Damian Jones,"$1,544,951","$2,305,057",,,,,Damian Jones
,"$1,544,951",Quinn Cook,"$1,544,951",,,,,,Quinn Cook
,"$1,544,951",Chinanu Onuaku,"$1,544,951",,,,,,Chinanu Onuaku
Cap Space,"$1,544,951",Willy Hernangómez,"$1,544,951","$1,676,700",,,,,Willy Hernangómez
1st Round pick,"$1,544,951",Timothé Luwawu-Cabarrot,"$1,544,951",,,,,,Timothé Luwawu-Cabarrot
,"$1,544,951",Wayne Selden,"$1,544,951",,,,,,Wayne Selden
,"$1,512,601",Georges Niang,"$1,512,601","$1,645,357","$1,783,557",,,,Georges Niang
Minimum Salary,"$1,512,601",Christian Wood,"$1,512,601","$1,645,357",,,,,Christian Wood
Minimum Salary,"$1,512,601",Derrick Jones,"$1,512,601","$1,645,357",,,,,Derrick Jones
Minimum Salary,"$1,512,601",David Nwaba,"$1,512,601",,,,,,David Nwaba
Minimum Salary,"$1,512,601",Treveon Graham,"$1,512,601","$1,645,357",,,,,Treveon Graham
Cap Space,"$2,904,546",Sviatoslav Mykhailiuk,"$1,487,694","$1,416,852","$1,663,861",,,,Sviatoslav Mykhailiuk
MLE,"$3,045,152",Mitchell Robinson,"$1,485,440","$1,559,712","$1,663,861","$1,802,057",,,Mitchell Robinson
Minimum Salary,"$1,378,252",Jordan Bell,"$1,378,252",,,,,,Jordan Bell
Minimum Salary,"$35,378,242",Maxi Kleber,"$1,378,242",,,,,,Maxi Kleber
Minimum Salary,"$26,378,242",Thomas Bryant,"$1,378,242",,,,,,Thomas Bryant
Minimum Salary,"$7,378,242",Khem Birch,"$1,378,242",,,,,,Khem Birch
Minimum Salary,"$6,378,242",Daniel Theis,"$1,378,242",,,,,,Daniel Theis
,,,,,,,,,
,,,,,,,,,
,"$2,996,762",Wesley Iwundu,"$1,378,242","$1,618,520",,,,,Wesley Iwundu
,"$2,996,762",Abdel Nader,"$1,378,242","$1,618,520","$1,752,950",,,,Abdel Nader
Minimum Salary,"$2,996,762",Damyean Dotson,"$1,378,242","$1,618,520",,,,,Damyean Dotson
MLE,"$2,996,762",Frank Jackson,"$1,378,242","$1,618,520",,,,,Frank Jackson
MLE,"$2,996,762",Sterling Brown,"$1,378,242","$1,618,520",,,,,Sterling Brown
,"$2,996,762",Semi Ojeleye,"$1,378,242","$1,618,520","$1,752,950",,,,Semi Ojeleye
MLE,"$1,750,000",Ivan Rabb,"$1,378,242","$1,618,520",,,,,Ivan Rabb
Cap space,"$1,378,242",Royce O'Neale,"$1,378,242","$1,618,520",,,,,Royce O'Neale
,"$1,378,242",Frank Mason,"$1,378,242",,,,,,Frank Mason
,"$1,378,242",Davon Reed,"$1,378,242",,,,,,Davon Reed
,"$1,378,242",Rade Zagorac,"$1,378,242",,,,,,Rade Zagorac
MLE,"$1,378,242",Dillon Brooks,"$1,378,242","$1,618,520",,,,,Dillon Brooks
Minimum Salary,"$1,378,242",Tyler Dorsey,"$1,378,242",,,,,,Tyler Dorsey
,"$1,378,242",Jawun Evans,"$1,378,242",,,,,,Jawun Evans
MLE,"$1,378,242",Sindarius Thornwell,"$1,378,242",,,,,,Sindarius Thornwell
,"$1,378,242",Ike Anigbogu,"$1,378,242",,,,,,Ike Anigbogu
MLE,"$1,378,242",Dwayne Bacon,"$1,378,242","$1,618,520",,,,,Dwayne Bacon
,"$1,360,304",Kevin Martin,"$1,360,304",,,,,,Kevin Martin
Minimum Salary,"$7,349,383",Ryan Arcidiacono,"$1,349,383",,,,,,Ryan Arcidiacono
Minimum Salary,"$2,937,614",Monte Morris,"$1,349,383","$1,588,231","$1,663,861",,,,Monte Morris
,,,,,,,,,
,,,,,,,,,
Minimum Salary,"$2,937,614",Antonio Blakeney,"$1,349,383","$1,588,231",,,,,Antonio Blakeney
Minimum Salary,"$1,349,383",Tyrone Wallace,"$1,349,383","$1,588,231",,,,,Tyrone Wallace
Minimum Salary,"$1,349,383",Alfonzo McKinnie,"$1,349,383","$1,588,231",,,,,Alfonzo McKinnie
,"$1,349,383",Jabari Bird,"$1,349,383",,,,,,Jabari Bird
,"$1,349,383",Daniel Hamilton,"$1,349,383",,,,,,Daniel Hamilton
,"$1,486,265",Shaquille Harrison,"$1,311,265",,,,,,Shaquille Harrison
,"$2,655,316",Élie Okobo,"$1,238,464","$1,416,852","$1,663,861","$1,802,057",,,Élie Okobo
Cap Space,"$4,310,443",Jalen Brunson,"$1,230,000","$1,416,582","$1,663,861","$1,802,057",,,Jalen Brunson
,"$1,200,000",Michael Carter-Williams,"$1,200,000",,,,,,Michael Carter-Williams
,"$3,329,641",Austin Rivers,"$1,155,323",,,,,,Austin Rivers
MLE,"$2,466,852",Melvin Frazier,"$1,050,000","$1,416,852","$1,663,861",,,,Melvin Frazier
,"$2,000,000",Justin Hamilton,"$1,000,000","$1,000,000",,,,,Justin Hamilton
,"$1,000,000",Shelvin Mack,"$1,000,000",,,,,,Shelvin Mack
,"$1,000,000",Isaac Bonga,"$1,000,000","$1,663,861","$1,416,852",,,,Isaac Bonga
,"$4,996,000",Kyle Singler,"$999,200","$999,200","$999,200","$999,200","$999,200",,Kyle Singler
MLE,"$2,405,316",Devonte' Graham,"$988,464","$1,416,852","$1,663,861",,,,Devonte' Graham
,"$950,000",Isaiah Taylor,"$950,000",,,,,,Isaiah Taylor
,"$949,000",De'Anthony Melton,"$949,000","$1,416,852",,,,,De'Anthony Melton
,"$945,126",Jason Thompson,"$945,126",,,,,,Jason Thompson
,"$917,272",Kenneth Faried,"$917,272",,,,,,Kenneth Faried
,,,,,,,,,
,,,,,,,,,
Minimum Salary,"$869,094",Chasson Randle,"$869,094",,,,,,Chasson Randle
MLE,"$3,919,177",Gary Trent,"$838,464","$1,416,852","$1,663,861",,,,Gary Trent
Minimum Salary,"$2,284,161",Brad Wanamaker,"$838,464",,,,,,Brad Wanamaker
,"$2,282,306",Ryan Broekhoff,"$838,464","$1,443,842",,,,,Ryan Broekhoff
MLE,"$2,255,316",Chimezie Metu,"$838,464","$1,416,852","$1,663,861",,,,Chimezie Metu
MLE,"$2,255,316",Hamidou Diallo,"$838,464","$1,416,852","$1,663,861",,,,Hamidou Diallo
MLE,"$2,255,316",Keita Bates-Diop,"$838,464","$1,416,852","$1,663,861",,,,Keita Bates-Diop
Minimum Salary,"$2,255,316",Alize Johnson,"$838,464","$1,416,852",,,,,Alize Johnson
MLE,"$2,255,316",Bruce Brown,"$838,464","$1,416,852","$1,663,861",,,,Bruce Brown
MLE,"$2,255,316",Jarred Vanderbilt,"$838,464","$1,416,852","$1,663,861",,,,Jarred Vanderbilt
MLE,"$1,676,928",Khyri Thomas,"$838,464","$838,464","$1,663,861",,,,Khyri Thomas
Minimum Salary,"$1,038,464",Kenrich Williams,"$838,464","$1,443,842",,,,,Kenrich Williams
,"$838,464",Isaiah Briscoe,"$838,464",,,,,,Isaiah Briscoe
MInimum Salary,"$838,464",Jevon Carter,"$838,464","$1,416,852",,,,,Jevon Carter
MLE,"$838,464",Isaiah Hartenstein,"$838,464","$1,416,852","$1,663,861",,,,Isaiah Hartenstein
,"$838,464",Ray Spalding,"$838,464",,,,,,Ray Spalding
,"$833,333",Martell Webster,"$833,333",,,,,,Martell Webster
,"$800,000",Lorenzo Brown,"$800,000",,,,,,Lorenzo Brown
,"$8,786,000",Patrick McCaw,"$786,000",,,,,,Patrick McCaw
,"$737,715",Wesley Matthews,"$737,715",,,,,,Wesley Matthews
,,,,,,,,,
,,,,,,,,,
,"$697,000",Jeremy Lin,"$697,000",,,,,,Jeremy Lin
,"$2,056,021",Cole Aldrich,"$685,341","$685,340","$685,340",,,,Cole Aldrich
,"$655,632",James Nunnally,"$655,632",,,,,,James Nunnally
,"$653,556",Enes Kanter,"$653,556",,,,,,Enes Kanter
,"$650,000",Carlos Delfino,"$650,000",,,,,,Carlos Delfino
,"$2,013,724",Gary Clark,"$596,872","$1,416,852","$1,663,861",,,,Gary Clark
Cap Space,"$573,295",Markieff Morris,"$573,295",,,,,,Markieff Morris
,"$540,472",Nik Stauskas,"$540,472",,,,,,Nik Stauskas
,"$527,467",Pau Gasol,"$527,467",,,,,,Pau Gasol
,"$517,219",Caron Butler,"$517,219",,,,,,Caron Butler
,"$506,134",Zhou Qi,"$506,134",,,,,,Zhou Qi
,"$670,211",Bruno Caboclo,"$487,000","$1,845,301",,,,,Bruno Caboclo
,"$1,378,242",Dakari Johnson,"$459,414","$459,414","$459,414",,,,Dakari Johnson
,"$582,418",Chris Boucher,"$457,418","$1,588,231",,,,,Chris Boucher
,"$457,418",Malcolm Miller,"$457,418","$1,588,231",,,,,Malcolm Miller
,"$456,733",Isaiah Canaan,"$456,733",,,,,,Isaiah Canaan
Two-Way Contract,"$449,794",Edmond Sumner,"$449,794",,,,,,Edmond Sumner
,"$1,050,262",A.J. Hammons,"$350,088","$350,087","$350,087",,,,A.J. Hammons
Minimum Salary,"$427,289",Henry Ellenson,"$341,831",,,,,,Henry Ellenson
,"$666,666",Festus Ezeli,"$333,333","$333,333",,,,,Festus Ezeli
,,,,,,,,,
,,,,,,,,,
,"$666,666",C.J. Watson,"$333,333","$333,333",,,,,C.J. Watson
,"$323,529",Patrick McCaw,"$323,529",,,,,,Patrick McCaw
,"$311,070",Nick Young,"$311,070",,,,,,Nick Young
,"$2,270,496",Corey Brewer,"$270,496",,,,,,Corey Brewer
,"$270,496",Corey Brewer,"$270,496",,,,,,Corey Brewer
,"$264,919",Okaro White,"$264,919",,,,,,Okaro White
,"$252,043",Miroslav Raduljica,"$252,043",,,,,,Miroslav Raduljica
,"$239,035",Eric Moreland,"$239,035",,,,,,Eric Moreland
,"$336,854",Jaylen Adams,"$236,854","$100,000",,,,,Jaylen Adams
,"$213,949",Quincy Acy,"$213,949",,,,,,Quincy Acy
,"$205,098",Tim Frazier,"$205,098",,,,,,Tim Frazier
,"$200,000",Andrew Harrison,"$200,000",,,,,,Andrew Harrison
,"$2,326,464",Michael Carter-Williams,"$198,580",,,,,,Michael Carter-Williams
,"$198,580",Jimmer Fredette,"$198,580",,,,,,Jimmer Fredette
,"$198,580",Isaiah Canaan,"$198,580",,,,,,Isaiah Canaan
,"$198,580",Terrence Jones,"$198,580",,,,,,Terrence Jones
,"$319,677",Jodie Meeks,"$196,724",,,,,,Jodie Meeks
Minimum Salary,"$194,220",Dairis Bertāns,"$194,220",,,,,,Dairis Bertāns
,"$232,117",Ray Spalding,"$184,746",,,,,,Ray Spalding
,"$670,211",Bruno Caboclo,"$183,211",,,,,,Bruno Caboclo
,,,,,,,,,
,,,,,,,,,
,"$177,063",Cameron Payne,"$177,063",,,,,,Cameron Payne
,"$196,553",Deyonta Davis,"$170,916",,,,,,Deyonta Davis
,"$170,915",Ron Baker,"$170,915",,,,,,Ron Baker
,"$163,296",Jamaal Franklin,"$163,296",,,,,,Jamaal Franklin
,"$160,096",Ben Moore,"$160,096",,,,,,Ben Moore
,"$151,587",Deonte Burton,"$151,587","$1,416,852",,,,,Deonte Burton
,"$319,677",Jodie Meeks,"$122,953",,,,,,Jodie Meeks
,"$613,705",Troy Williams,"$122,741","$122,741","$122,741","$122,741","$122,741",,Troy Williams
,"$122,344",Greg Monroe,"$122,344",,,,,,Greg Monroe
,"$203,695",Cameron Reynolds,"$108,953",,,,,,Cameron Reynolds
,"$106,974",Tyler Zeller,"$106,974",,,,,,Tyler Zeller
,"$2,326,464",Michael Carter-Williams,"$99,290",,,,,,Michael Carter-Williams
,"$198,580",John Jenkins,"$99,290",,,,,,John Jenkins
,"$198,580",John Jenkins,"$99,290",,,,,,John Jenkins
,"$99,290",John Jenkins,"$99,290",,,,,,John Jenkins
,"$99,290",Isaiah Canaan,"$99,290",,,,,,Isaiah Canaan
,"$99,107",Walt Lemon,"$99,107",,,,,,Walt Lemon
,"$203,695",Cameron Reynolds,"$94,742",,,,,,Cameron Reynolds
,"$94,742",Justin Bibbs,"$94,742",,,,,,Justin Bibbs
,"$94,742",Mitch Creek,"$94,742",,,,,,Mitch Creek
,,,,,,,,,
,,,,,,,,,
,"$94,742",B.J. Johnson,"$94,742",,,,,,B.J. Johnson
,"$11,094,003",Danuel House,"$94,003",,,,,,Danuel House
,"$557,142",Demetrius Jackson,"$92,857","$92,857","$92,857","$92,857","$92,857","$92,857",Demetrius Jackson
,"$137,376",Chris Chiozza,"$90,005","$1,416,852","$1,663,861",,,,Chris Chiozza
,"$106,237",Eric Moreland,"$88,531",,,,,,Eric Moreland
,"$88,531",JaKarr Sampson,"$88,531",,,,,,JaKarr Sampson
,"$427,289",Henry Ellenson,"$85,458",,,,,,Henry Ellenson
,"$85,458",Gary Payton,"$85,458",,,,,,Gary Payton
,"$85,458",Scotty Hopson,"$85,458",,,,,,Scotty Hopson
,"$76,236",Charles Cooke,"$76,236",,,,,,Charles Cooke
,"$76,236",Andre Ingram,"$76,236",,,,,,Andre Ingram
,"$76,236",Kobi Simmons,"$76,236",,,,,,Kobi Simmons
,"$64,185",Tyler Zeller,"$64,185",,,,,,Tyler Zeller
,"$59,820",Donatas Motiejūnas,"$59,820",,,,,,Donatas Motiejūnas
,"$59,820",Greg Monroe,"$59,820",,,,,,Greg Monroe
,"$52,108",Jemerrio Jones,"$52,108","$1,416,852",,,,,Jemerrio Jones
,"$50,000",Shaquille Harrison,"$50,000",,,,,,Shaquille Harrison
,"$50,000",Garlon Green,"$50,000",,,,,,Garlon Green
,"$232,117",Ray Spalding,"$47,371",,,,,,Ray Spalding
,"$137,376",Chris Chiozza,"$47,371",,,,,,Chris Chiozza
,,,,,,,,,
,,,,,,,,,
,"$56,845",Mitch Creek,"$47,371",,,,,,Mitch Creek
,"$47,371",Cody Demps,"$47,371",,,,,,Cody Demps
,"$47,371",B.J. Johnson,"$47,371",,,,,,B.J. Johnson
,"$47,371",Emanuel Terry,"$47,371",,,,,,Emanuel Terry
,"$47,371",Richard Solomon,"$47,371",,,,,,Richard Solomon
,"$47,371",Emanuel Terry,"$47,371",,,,,,Emanuel Terry
,"$47,371",Dusty Hannahs,"$47,371",,,,,,Dusty Hannahs
,"$47,371",Scott Machado,"$47,371",,,,,,Scott Machado
,"$47,371",Stephan Hicks,"$47,371",,,,,,Stephan Hicks
,"$47,371",Tahjere McCall,"$47,371",,,,,,Tahjere McCall
,"$47,371",Jordan Sibert,"$47,371",,,,,,Jordan Sibert
,"$47,371",Isaac Humphries,"$47,371",,,,,,Isaac Humphries
,"$42,634",Billy Garrett,"$42,634",,,,,,Billy Garrett
,"$35,000",Emanuel Terry,"$35,000",,,,,,Emanuel Terry
,"$34,183",Troy Williams,"$34,183",,,,,,Troy Williams
,"$196,553",Deyonta Davis,"$25,637","$1,645,357",,,,,Deyonta Davis
,"$23,685",Michael Frazier,"$23,685","$1,416,852","$1,663,861",,,,Michael Frazier
,"$106,237",Eric Moreland,"$17,706",,,,,,Eric Moreland
,"$17,092",Jordan McRae,"$17,092","$1,645,357",,,,,Jordan McRae
,"$17,092",Jonathan Gibson,"$17,092",,,,,,Jonathan Gibson
,,,,,,,,,
,,,,,,,,,
Mid-level Exception,"$114,211",Yante Maten,"$14,211","$1,416,852","$1,663,861",,,,Yante Maten
,"$1,009,474",Duncan Robinson,"$9,474","$1,416,852","$1,663,861",,,,Duncan Robinson
,"$56,845",Mitch Creek,"$9,474",,,,,,Mitch Creek
,"$9,474",Tarik Phillip,"$9,474","$1,443,842",,,,,Tarik Phillip
,"$6,000",Terry Larrier,"$6,000",,,,,,Terry Larrier
Two-Way Contract,"$1,450,434",Theo Pinson,"$4,737",,,,,,Theo Pinson
,"$4,737",Kendrick Nunn,"$4,737","$1,416,852","$1,663,861",,,,Kendrick Nunn
,"$4,737",Ding Yanyuhang,"$4,737",,,,,,Ding Yanyuhang
